"","issue","affected_files","affected_variables","severity","comment"
"1","illegal question type","questions","audit","problematic","illegal type value: audit"
"2","illegal question type","questions","shape_code","problematic","illegal type value: select_one_external shape_code"
"3","illegal question type","questions","point_code","problematic","illegal type value: select_one_external point_code"
"4","failed to evaluate 'relevant' condition","questions","physical_cognitive_male_children_err","critical","condition that failed: 'selected(${physical_cognitive_difficulties},'yes_male_children*') and ${nb_children_male}=0'.  --- evaluation failed with error:  could not find function ""selected"""
"5","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  seb_02"
"6","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  juf_03"
"7","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  tri_11"
"8","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_22"
"9","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  seb_04"
"10","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  wad_17"
"11","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  wad_18"
"12","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jfa_17"
"13","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  tri_05"
"14","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jfa_16"
"15","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ejd_08"
"16","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jfa_01"
"17","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  tri_01"
"18","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ejd_05"
"19","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  tri_19"
"20","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  kuf_02"
"21","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  sir_05"
"22","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  gha_03"
"23","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  sir_01"
"24","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  sir_03"
"25","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  gha_01"
"26","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_09"
"27","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jag_22"
"28","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  der_01"
"29","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ejd_13"
"30","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jag_24"
"31","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_14"
"32","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  zwa_05"
"33","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  seb_03"
"34","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_06"
"35","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  der_03"
"36","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ejd_12"
"37","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_08"
"38","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  kuf_03"
"39","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jag_23"
"40","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  sir_06"
"41","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  sir_02"
"42","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  mur_14"
"43","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  mis_14"
"44","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  seb_06"
"45","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ejd_01"
"46","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ejd_06"
"47","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  der_08"
"48","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  mis_30"
"49","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jag_26"
"50","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  zwa_09"
"51","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  zwa_01"
"52","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  tri_25"
"53","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  mis_17"
"54","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_17"
"55","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  mur_15"
"56","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ben_26"
"57","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  tri_13"
"58","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  mis_20"
"59","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_20"
"60","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jag_19"
"61","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jag_20"
"62","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jag_21"
"63","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jfa_15"
"64","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  mur_13"
"65","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ben_07"
"66","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ben_06"
"67","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  azz_13"
"68","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ben_04"
"69","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  jfa_06"
"70","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  der_17"
"71","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  zwa_16"
"72","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","shape_code","minor","value:  ben_09"
