research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,hypothesis
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,gvt_salary,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,gvt_social_benefits,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,non_gvt_salary,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,casual_labour,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,own_business_income,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,remittances,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,family_support,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,humanitarian_assistance,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,zakat,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,income_other,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,food_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,rent_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,shelter_maintenance_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,water_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,nfi_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,utilities_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,fuel_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,health_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,education_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,transportation_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,mobile_phone_credit_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,productive_assets_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,debt_repayment_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,other_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,strata.names,categorical,gvt_salary,numerical,group_difference_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,strata.names,categorical,gvt_social_benefits,numerical,group_difference_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,strata.names,categorical,non_gvt_salary,numerical,group_difference_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,strata.names,categorical,casual_labour,numerical,group_difference_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,strata.names,categorical,own_business_income,numerical,group_difference_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,strata.names,categorical,remittances,numerical,group_difference_median,
