research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,hypothesis
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,gvt_salary,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,gvt_social_benefits,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,non_gvt_salary,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,casual_labour,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,own_business_income,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,remittances,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,family_support,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,humanitarian_assistance,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,zakat,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,income_other,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,food_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,rent_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,shelter_maintenance_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,water_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,nfi_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,utilities_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,fuel_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,health_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,education_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,transportation_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,mobile_phone_credit_expenditure,numerical,direct_reporting_median,
