,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
age_hoh,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,age_hoh,numerical,direct_reporting
sex_hoh,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,sex_hoh,categorical,direct_reporting
same_baladiya_prior_2011,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,same_baladiya_prior_2011,categorical,direct_reporting
displaced_since_2011,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,displaced_since_2011,categorical,direct_reporting
displaced_baladiya_origin,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,displaced_baladiya_origin,categorical,direct_reporting
displacement_status_note,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,displacement_status_note,categorical,direct_reporting
size_hh,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,size_hh,numerical,direct_reporting
nb_infants_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_infants_male,numerical,direct_reporting
nb_children_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_children_male,numerical,direct_reporting
nb_youth_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_youth_male,numerical,direct_reporting
nb_adults_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_adults_male,numerical,direct_reporting
nb_elderly_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_elderly_male,numerical,direct_reporting
nb_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_male,numerical,direct_reporting
under18_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,under18_male,numerical,direct_reporting
over18_male,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,over18_male,numerical,direct_reporting
school_aged_boys,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,school_aged_boys,numerical,direct_reporting
nb_infants_female,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_infants_female,numerical,direct_reporting
nb_children_female,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_children_female,numerical,direct_reporting
nb_youth_female,RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),NA,NA,NA,nb_youth_female,numerical,direct_reporting
