strata.names,population
Al Jabal Al Gharbi_idp,1704
Aljfara_idp,3120
Aljufra_idp,187
Alkufra_idp,1025
Azzawya_idp,2173
Benghazi_idp,5068
Derna_idp,226
Ejdabia_idp,2672
Ghat_idp,1627
Misrata_idp,4793
Murzuq_idp,892
Sebha_idp,2542
Sirt_idp,1640
Tripoli_idp,7248
Ubari_idp,659
Wadi Ashshati_idp,239
Zwara_idp,1271
Al Jabal Al Gharbi_non_displaced,25922
Aljfara_non_displaced,62351
Aljufra_non_displaced,5750
Alkufra_non_displaced,7045
Azzawya_non_displaced,57590
Benghazi_non_displaced,104864
Derna_non_displaced,33941
Ejdabia_non_displaced,31145
Ghat_non_displaced,3576
Misrata_non_displaced,62214
Murzuq_non_displaced,7821
Sebha_non_displaced,20521
Sirt_non_displaced,15005
Tripoli_non_displaced,162867
Ubari_non_displaced,15420
Wadi Ashshati_non_displaced,9369
Zwara_non_displaced,57672
Al Jabal Al Gharbi_returnee,2170
Aljfara_returnee,1006
Alkufra_returnee,207
Azzawya_returnee,89
Benghazi_returnee,36010
Derna_returnee,7454
Ghat_returnee,196
Misrata_returnee,1357
Murzuq_returnee,77
Sebha_returnee,384
Sirt_returnee,12090
Tripoli_returnee,9914
Wadi Ashshati_returnee,42
Zwara_returnee,2585
Ubari_returnee,5587
Ejdabia_returnee,100
