list_name,name,label::English (en),label::Arabic (ar),mantika,organisation,shape_code,media::image:: English (en),media::image:: Arabic (ar)
yes_no,yes,Yes,äÚã,,,,,
yes_no,no,No,áÇ,,,,,
male_female,male,Male,ĞßÑ,,,,,
male_female,female,Female,ÃäËì,,,,,
food_source,own_production,1. Own production,ÅäÊÇÌ ÎÇÕ,,,,,
food_source,food_aid,"2. Received as food aid through government, UN, NGOs, civil society, etc.",ÊáŞí ÇáãÓÇÚÏÇÊ ÇáÛĞÇÆíÉ ãä ÎáÇá ÇáÍßæãÉ¡ ÇáÃãã ÇáãÊÍÏÉ¡ ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ¡ ÇáãÌÊãÚ ÇáãÏäí¡ ÅáÎ.,,,,,
food_source,food_gift,3. Received as gift from friends or relatives,ÇáÍÕæá Úáíå ßåÏíÉ ãä ÇáÃÕÏŞÇÁ Ãæ ÇáÃŞÇÑÈ,,,,,
food_source,market_cash,4. Market (purchased with cash) ,ÇáÓæŞ (Êã ÔÑÇÄå äŞÏğÇ),,,,,
food_source,market_credit,5. Market (purchased on credit),ÇáÓæŞ (Êã ÔÑÇÄå ÈÇáÏíä),,,,,
food_source,market_cheque,6. Market (purchased with cheque), ÇáÓæŞ (Êã ÔÑÇÄå ÈÇáÔíß),,,,,
food_source,work_barter_food,7. Work or barter for food,ÇáÚãá Ãæ ãŞÇíÖÉ ÇáØÚÇã ,,,,,
food_source,gatherring_hunting_fishing,"8. Gathering, hunting, or fishing",ÇáÍÕÇÏ Ãæ ÇáÕíÏ ÇáÈÑí Ãæ ÕíÏ ÇáÓãß ,,,,,
food_source,borrowing_food,"9. Borrowing food from relatives, hosts, or external parties",ÇŞÊÑÇÖ ÇáØÚÇã ãä ÇáÃŞÇÑÈ Ãæ ÇáãÖíİíä Ãæ ÇáÃØÑÇİ ÇáÎÇÑÌíÉ   ,,,,,
food_source,zakat,10. Zakat,ÇáÒßÇÉ,,,,,
food_source,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
food_source,dk,Don't know, áÇ ÃÚÑİ,,,,,
food_source,dwta,Prefer not to answer, ÃİÖá ÚÏã ÇáÅÌÇÈÉ  ,,,,,
agriculture_production,crop_production,"1. Yes, crop production",äÚã¡ İí ÒÑÇÚÉ ÇáãÍÇÕíá,,,,,
agriculture_production,livestock_production,"2. Yes, livestock production",äÚã¡ İí ÊÑÈíÉ ÇáãÇÔíÉ,,,,,
agriculture_production,fishing_production,"3. Yes, fishing/fisheries",äÚã¡ İí ÇáÕíÏ Ãæ ÇáÏæÇÌä,,,,,
