type,name,label::English (en),required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count,parameters
start,start,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,
today,today,,,,,,,,,,,,,,,
deviceid,device_id,,,,,,,,,,,,,,,
calculate,enumerator_name,,,,,,,,,,,"pulldata('unique_identifier_lby', 'name', 'name_key', ${enumerator_id})",,,,
note,pulled_name,"The holder of this id is ${enumerator_name}, if this is not your name please go back and select the appropriate id",,,,,,,ÕÇÍÈ åĞÇ ÇáãÚÑİ åæ ${enumerator_name} ¡ Åä åĞÇ áíÓ ÇÓãß ÇáÑÌÇÁ ÇáÑÌæÚ Çáì ÇáæÑÇÁ æ ÅÎÊíÇÑ ÇáãÚÑİ ÇáÎÇÕ Èß,,,,,,,
calculate,mantika_label,,,,,,,,,,,"pulldata('mantika_labels', 'name', 'name_key', ${mantika})",,,,
calculate,baladiya_label,,,,,,,,,,,"pulldata('baladiya_labels', 'name', 'name_key', ${baladiya})",,,,
note,introduction_paragraph,"Hi, my name is ${enumerator_name} . 
I am working with ${organisation_name} on a survey that is being facilitated by ACTED, an international organisation based in Libya.  
This survey is not connected to any specific aid distributions, and completing it does not make it more likely that you will receive aid. However, the data we collect will be used by the humanitarian community to determine what the critical needs and priorities are for vulnerable communities across Libya.
Your participation in this survey is voluntary, and you can choose to stop at any time. The information that you give us will be kept confidential.
If you would like to submit any complaints about this survey, you may do so using the phone number on this card. [Do not read: Enumerator must give the respondent a CRM card right now.] This feedback mechanism is independent and confidential, and if you submit a complaint, you will receive a response.
We value your participation in this survey, which should take approximately 50 minutes to conduct. 
Many thanks in advance for your cooperation.",,,,,,,"ãÑÍÈğÇ ¡ ÇÓãí ${enumerator_name} .ÃäÇ ÃÚãá ãÚ ${organisation_name} İí ÇÓÊÈíÇä ÊŞæã ÈÊäÙíãå ãäÙãÉ ÃßÊÏ ACTED ¡ æåí ãäÙãÉ ÏæáíÉ ãŞÑåÇ áíÈíÇ.åĞÇ ÇáÇÓÊÈíÇä ÛíÑ ãÑÊÈØ ÈÃí ÊæÒíÚÇÊ ãÍÏÏÉ ááãÚæäÉ ¡ æáÇ íÄÏí ÇÓÊßãÇáå Åáì ÇÍÊãÇá ÊáŞí ÇáãÚæäÉ. æãÚ Ğáß ¡ ÓíÊã ÇÓÊÎÏÇã ÇáÈíÇäÇÊ ÇáÊí äÌãÚåÇ ãä ŞÈá ÇáãÌÊãÚ ÇáÅäÓÇäí áÊÍÏíÏ ÇáÇÍÊíÇÌÇÊ æÇáÃæáæíÇÊ ÇáÖÑæÑíÉ ááãÌÊãÚÇÊ ÇáÖÚíİÉ İí ÌãíÚ ÃäÍÇÁ áíÈíÇ.ãÔÇÑßÊß İí åĞÇ ÇáÇÓÊÈíÇä ØæÚíÉ ¡ æíãßäß ÇÎÊíÇÑ ÇáÊæŞİ İí Ãí æŞÊ. ÓÊÈŞì ÇáãÚáæãÇÊ ÇáÊí ÊŞÏãåÇ áäÇ ÓÑíÉ.ÅĞÇ ßäÊ ÊÑÛÈ İí ÊŞÏíã Ãí ÔßÇæì Íæá åĞÇ ÇáÇÓÊÈíÇä ¡ íãßäß ÇáŞíÇã ÈĞáß ÈÇÓÊÎÏÇã ÑŞã ÇáåÇÊİ Úáì åĞå ÇáÈØÇŞÉ. [ íÌÈ Úáì ÇáÑÇÕÏ ÅÚØÇÁ ÇáãÓÊÌæÈ ÈØÇŞ CRM İí ÇáæŞÊ ÇáÍÇáí.]
ÂáíÉ ÇáÊÚáíŞ åĞå ãÓÊŞáÉ æÓÑíÉ ¡ æÅĞÇ ŞãÊ ÈÊŞÏíã Ôßæì ¡ İÓÊÊáŞì ÑÏğÇ.äÍä äŞÏÑ ãÔÇÑßÊß İí åĞÇ ÇáÇÓÊÈíÇä ¡ æÇáĞí ÓíÓÊÛÑŞ ÍæÇáí 50 ÏŞíŞÉ áÅÊãÇãå.ÔßÑÇ ÌÒíáÇ ãŞÏãÇ áÊÚÇæäßã.",,,,,,,
select_one yes_no,consent,Do you consent participating in this survey?,yes,,,quick,,,åá ÊæÇİŞ Úáì ÇáãÔÇÑßÉ İí ÇáÇÓÊÈíÇä¿,,,,,,,
