"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"1","education_index2",NA," 1","NA","76% (74%-79%)",NA,0.744085647198833,0.785847512001643,NA,NA,NA
"2","education_index2",NA," 2","NA","18% (17%-20%)",NA,0.165638948551043,0.202996637404293,NA,NA,NA
"3","education_index2",NA," 3","NA","4% (3%-5%)",NA,0.0266027390221864,0.0490631080940967,NA,NA,NA
"4","education_index2",NA," 4","NA","1% (1%-2%)",NA,0.00815465914307317,0.017610748584832,NA,NA,NA
"5","education_index2",NA," 1","NA","76% (74%-79%)",NA,0.744085647198833,0.785847512001643,NA,NA,NA
"6","education_index2",NA," 2","NA","18% (17%-20%)",NA,0.165638948551043,0.202996637404293,NA,NA,NA
"7","education_index2",NA," 3","NA","4% (3%-5%)",NA,0.0266027390221864,0.0490631080940967,NA,NA,NA
"8","education_index2",NA," 4","NA","1% (1%-2%)",NA,0.00815465914307317,0.017610748584832,NA,NA,NA
"9","capacitygap_index1",NA,"1","NA","35% (32%-37%)",NA,0.320926234960445,0.373952222155616,NA,NA,NA
"10","capacitygap_index1",NA,"2","NA","12% (10%-13%)",NA,0.102104560255304,0.134998782838546,NA,NA,NA
"11","capacitygap_index1",NA,"3","NA","49% (46%-52%)",NA,0.462843727425476,0.515997305123186,NA,NA,NA
"12","capacitygap_index1",NA,"4","NA","4% (3%-6%)",NA,0.0320424385138231,0.0571347287276036,NA,NA,NA
"13","capacitygap_index1",NA,"1","NA","35% (32%-37%)",NA,0.320926234960445,0.373952222155616,NA,NA,NA
"14","capacitygap_index1",NA,"2","NA","12% (10%-13%)",NA,0.102104560255304,0.134998782838546,NA,NA,NA
"15","capacitygap_index1",NA,"3","NA","49% (46%-52%)",NA,0.462843727425476,0.515997305123186,NA,NA,NA
"16","capacitygap_index1",NA,"4","NA","4% (3%-6%)",NA,0.0320424385138231,0.0571347287276036,NA,NA,NA
"17","capacitygap_index1",NA,"1","NA","35% (32%-37%)",NA,0.320926234960445,0.373952222155616,NA,NA,NA
"18","capacitygap_index1",NA,"2","NA","12% (10%-13%)",NA,0.102104560255304,0.134998782838546,NA,NA,NA
"19","capacitygap_index1",NA,"3","NA","49% (46%-52%)",NA,0.462843727425476,0.515997305123186,NA,NA,NA
"20","capacitygap_index1",NA,"4","NA","4% (3%-6%)",NA,0.0320424385138231,0.0571347287276036,NA,NA,NA
"21","capacitygap_index1",NA,"1","NA","35% (32%-37%)",NA,0.320926234960445,0.373952222155616,NA,NA,NA
"22","capacitygap_index1",NA,"2","NA","12% (10%-13%)",NA,0.102104560255304,0.134998782838546,NA,NA,NA
"23","capacitygap_index1",NA,"3","NA","49% (46%-52%)",NA,0.462843727425476,0.515997305123186,NA,NA,NA
"24","capacitygap_index1",NA,"4","NA","4% (3%-6%)",NA,0.0320424385138231,0.0571347287276036,NA,NA,NA
