,dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max,repeat.var,repeat.var.value,p.value
dependent.var,preexisting_vulnerability_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var1,impact_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var2,protection_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var3,shelter_nfi_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var4,fs_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var5,health_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var6,wash_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var7,education_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
dependent.var8,capacity_gap_score,NA,NA,NA,NA% ,NA,NA,NA,NA,NA,NA
1,vul_atlease_one,NA,no,NA,39% (36%-41%),NA,0.360914645,0.414590695,NA,NA,NA
2,,NA,yes,NA,61% (59%-64%),NA,0.585409305,0.639085355,NA,NA,NA
191,,mantika_label,1,Al Jabal Al Gharbi,88% (82%-93%),NA,0.820312142,0.930036443,NA,NA,NA
210,,mantika_label,2,Al Jabal Al Gharbi,3% (0%-6%),NA,0.001661215,0.061279147,NA,NA,NA
3,,mantika_label,3,Al Jabal Al Gharbi,9% (5%-14%),NA,0.045392655,0.141318398,NA,NA,NA
4,,mantika_label,1,Aljfara,96% (92%-100%),NA,0.919808031,0.995335439,NA,NA,NA
5,,mantika_label,2,Aljfara,0%,NA,-0.000315686,0.001490543,NA,NA,NA
6,,mantika_label,3,Aljfara,4% (0%-8%),NA,0.004086831,0.079594842,NA,NA,NA
7,,mantika_label,1,Aljufra,28% (20%-35%),NA,0.195678485,0.354776311,NA,NA,NA
8,,mantika_label,3,Aljufra,72% (65%-80%),NA,0.645223689,0.804321515,NA,NA,NA
9,,mantika_label,1,Alkufra,98% (96%-100%),NA,0.955173427,0.998129295,NA,NA,NA
10,,mantika_label,2,Alkufra,1% (-1%-2%),NA,-0.005137406,0.024879138,NA,NA,NA
11,,mantika_label,3,Alkufra,1% (0%-3%),NA,-0.002044299,0.028999845,NA,NA,NA
12,,mantika_label,1,Azzawya,97% (95%-100%),NA,0.947423346,1.002354235,NA,NA,NA
13,,mantika_label,2,Azzawya,3% (0%-5%),NA,-0.002354235,0.052576654,NA,NA,NA
14,,mantika_label,1,Benghazi,90% (85%-94%),NA,0.85231668,0.939498772,NA,NA,NA
15,,mantika_label,2,Benghazi,1% (0%-2%),NA,-0.004293512,0.021545873,NA,NA,NA
16,,mantika_label,3,Benghazi,10% (5%-14%),NA,0.053425563,0.137506625,NA,NA,NA
17,,mantika_label,1,Derna,97% (95%-100%),NA,0.951262876,0.997287479,NA,NA,NA
18,,mantika_label,2,Derna,1% (-1%-3%),NA,-0.006203471,0.025233255,NA,NA,NA
19,,mantika_label,3,Derna,2% (0%-3%),NA,-0.000763672,0.033183534,NA,NA,NA
20,,mantika_label,1,Ejdabia,94% (90%-98%),NA,0.89773887,0.978722736,NA,NA,NA
21,,mantika_label,2,Ejdabia,1% (-1%-2%),NA,-0.007669063,0.023638995,NA,NA,NA
22,,mantika_label,3,Ejdabia,5% (2%-9%),NA,0.016096798,0.091471664,NA,NA,NA
23,,mantika_label,1,Ghat,67% (61%-74%),NA,0.61012633,0.735520661,NA,NA,NA
24,,mantika_label,2,Ghat,1% (0%-3%),NA,-0.00262523,0.031710171,NA,NA,NA
25,,mantika_label,3,Ghat,31% (25%-37%),NA,0.250457709,0.373879512,NA,NA,NA
26,,mantika_label,4,Ghat,0%,NA,-0.00044701,0.001377857,NA,NA,NA
27,,mantika_label,1,Misrata,96% (93%-99%),NA,0.929401468,0.990665964,NA,NA,NA
28,,mantika_label,3,Misrata,4% (1%-7%),NA,0.009334036,0.070598532,NA,NA,NA
29,,mantika_label,1,Murzuq,89% (84%-95%),NA,0.836079389,0.94726624,NA,NA,NA
30,,mantika_label,2,Murzuq,2% (-1%-4%),NA,-0.005498353,0.042385032,NA,NA,NA
31,,mantika_label,3,Murzuq,9% (4%-14%),NA,0.03859779,0.141169902,NA,NA,NA
32,,mantika_label,1,Sebha,99% (98%-101%),NA,0.97593038,1.00687599,NA,NA,NA
33,,mantika_label,2,Sebha,1% (-1%-2%),NA,-0.007224579,0.02370615,NA,NA,NA
34,,mantika_label,3,Sebha,0%,NA,-0.000134793,0.000846852,NA,NA,NA
35,,mantika_label,1,Sirt,85% (80%-90%),NA,0.804481938,0.895871003,NA,NA,NA
36,,mantika_label,2,Sirt,1% (0%-3%),NA,-0.000686185,0.026929597,NA,NA,NA
37,,mantika_label,3,Sirt,14% (9%-18%),NA,0.092547074,0.180856574,NA,NA,NA
38,,mantika_label,1,Tripoli,90% (85%-95%),NA,0.847986607,0.948566081,NA,NA,NA
39,,mantika_label,2,Tripoli,2% (-1%-4%),NA,-0.005738313,0.038878095,NA,NA,NA
40,,mantika_label,3,Tripoli,9% (4%-13%),NA,0.039187244,0.131120286,NA,NA,NA
41,,mantika_label,1,Ubari,87% (83%-91%),NA,0.82591062,0.912804668,NA,NA,NA
42,,mantika_label,2,Ubari,3% (0%-5%),NA,0.00139337,0.04930998,NA,NA,NA
43,,mantika_label,3,Ubari,11% (7%-14%),NA,0.068061724,0.142519638,NA,NA,NA
44,,mantika_label,1,Wadi Ashshati,98% (96%-100%),NA,0.957315056,1.004820986,NA,NA,NA
45,,mantika_label,3,Wadi Ashshati,2% (0%-4%),NA,-0.004820986,0.042684944,NA,NA,NA
46,,mantika_label,1,Zwara,90% (85%-96%),NA,0.85012371,0.956692256,NA,NA,NA
47,,mantika_label,3,Zwara,10% (4%-15%),NA,0.043307744,0.14987629,NA,NA,NA
192,,mantika_label,1,Al Jabal Al Gharbi,65% (58%-73%),NA,0.578583691,0.729759762,NA,NA,1.35E-41
211,,mantika_label,2,Al Jabal Al Gharbi,2% (0%-5%),NA,0.002811956,0.04628612,NA,NA,1.35E-41
310,,mantika_label,3,Al Jabal Al Gharbi,32% (25%-40%),NA,0.24688065,0.395677823,NA,NA,1.35E-41
410,,mantika_label,1,Aljfara,72% (63%-80%),NA,0.634443287,0.80236954,NA,NA,1.35E-41
510,,mantika_label,2,Aljfara,0% (0%-1%),NA,0.001365243,0.005683903,NA,NA,1.35E-41
610,,mantika_label,3,Aljfara,28% (19%-36%),NA,0.194108723,0.362029304,NA,NA,1.35E-41
710,,mantika_label,1,Aljufra,97% (97%-97%),NA,0.969613843,0.97393629,NA,NA,1.35E-41
810,,mantika_label,3,Aljufra,3% (3%-3%),NA,0.02606371,0.030386157,NA,NA,1.35E-41
910,,mantika_label,1,Alkufra,96% (95%-98%),NA,0.945860878,0.981303485,NA,NA,1.35E-41
1010,,mantika_label,2,Alkufra,0% (0%-1%),NA,0.001198645,0.008612376,NA,NA,1.35E-41
1110,,mantika_label,3,Alkufra,3% (1%-5%),NA,0.014057764,0.048966851,NA,NA,1.35E-41
1210,,mantika_label,1,Azzawya,92% (87%-97%),NA,0.873256752,0.965985881,NA,NA,1.35E-41
1310,,mantika_label,2,Azzawya,1% (-1%-2%),NA,-0.007104342,0.024918284,NA,NA,1.35E-41
1410,,mantika_label,3,Azzawya,7% (3%-12%),NA,0.027556617,0.115386807,NA,NA,1.35E-41
1510,,mantika_label,1,Benghazi,94% (92%-96%),NA,0.921977412,0.957768753,NA,NA,1.35E-41
1610,,mantika_label,2,Benghazi,1% (0%-2%),NA,0.001433317,0.019301293,NA,NA,1.35E-41
1710,,mantika_label,3,Benghazi,5% (3%-7%),NA,0.033984931,0.065534295,NA,NA,1.35E-41
1810,,mantika_label,1,Derna,92% (91%-94%),NA,0.90601055,0.939451091,NA,NA,1.35E-41
193,,mantika_label,2,Derna,5% (4%-7%),NA,0.03648256,0.067422977,NA,NA,1.35E-41
201,,mantika_label,3,Derna,3% (1%-4%),NA,0.014553292,0.036079529,NA,NA,1.35E-41
212,,mantika_label,1,Ejdabia,94% (94%-95%),NA,0.935872144,0.948954276,NA,NA,1.35E-41
221,,mantika_label,2,Ejdabia,0%,NA,-0.000635847,0.002153596,NA,NA,1.35E-41
231,,mantika_label,3,Ejdabia,6% (5%-6%),NA,0.050220605,0.063435228,NA,NA,1.35E-41
241,,mantika_label,1,Ghat,94% (92%-97%),NA,0.918547391,0.966304125,NA,NA,1.35E-41
251,,mantika_label,2,Ghat,2% (0%-3%),NA,0.001571446,0.032906058,NA,NA,1.35E-41
261,,mantika_label,3,Ghat,4% (2%-6%),NA,0.021529571,0.059141409,NA,NA,1.35E-41
271,,mantika_label,1,Misrata,85% (79%-90%),NA,0.791823606,0.901035389,NA,NA,1.35E-41
281,,mantika_label,2,Misrata,0%,NA,-0.000183161,0.002484594,NA,NA,1.35E-41
291,,mantika_label,3,Misrata,15% (10%-21%),NA,0.097814554,0.207025018,NA,NA,1.35E-41
301,,mantika_label,1,Murzuq,74% (67%-82%),NA,0.668017174,0.817598484,NA,NA,1.35E-41
311,,mantika_label,2,Murzuq,2% (0%-4%),NA,0.004374615,0.041345722,NA,NA,1.35E-41
321,,mantika_label,3,Murzuq,23% (16%-31%),NA,0.160717766,0.307946239,NA,NA,1.35E-41
331,,mantika_label,1,Sebha,60% (53%-68%),NA,0.525643653,0.681695717,NA,NA,1.35E-41
341,,mantika_label,2,Sebha,2% (0%-3%),NA,-0.000328326,0.032141886,NA,NA,1.35E-41
351,,mantika_label,3,Sebha,38% (30%-46%),NA,0.302805856,0.458041214,NA,NA,1.35E-41
361,,mantika_label,1,Sirt,82% (78%-86%),NA,0.783960267,0.862663337,NA,NA,1.35E-41
