,dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max,repeat.var,repeat.var.value,p.value
1,education_index2,NA,1,NA,76% (74%-79%),NA,0.744085647,0.785847512,NA,NA,NA
2,education_index2,NA,2,NA,18% (17%-20%),NA,0.165638949,0.202996637,NA,NA,NA
3,education_index2,NA,3,NA,4% (3%-5%),NA,0.026602739,0.049063108,NA,NA,NA
4,education_index2,NA,4,NA,1% (1%-2%),NA,0.008154659,0.017610749,NA,NA,NA
5,education_index2,NA,1,NA,76% (74%-79%),NA,0.744085647,0.785847512,NA,NA,NA
6,education_index2,NA,2,NA,18% (17%-20%),NA,0.165638949,0.202996637,NA,NA,NA
7,education_index2,NA,3,NA,4% (3%-5%),NA,0.026602739,0.049063108,NA,NA,NA
8,education_index2,NA,4,NA,1% (1%-2%),NA,0.008154659,0.017610749,NA,NA,NA
9,capacitygap_index1,NA,1,NA,35% (32%-37%),NA,0.320926235,0.373952222,NA,NA,NA
10,capacitygap_index1,NA,2,NA,12% (10%-13%),NA,0.10210456,0.134998783,NA,NA,NA
11,capacitygap_index1,NA,3,NA,49% (46%-52%),NA,0.462843727,0.515997305,NA,NA,NA
12,capacitygap_index1,NA,4,NA,4% (3%-6%),NA,0.032042439,0.057134729,NA,NA,NA
13,capacitygap_index1,NA,1,NA,35% (32%-37%),NA,0.320926235,0.373952222,NA,NA,NA
14,capacitygap_index1,NA,2,NA,12% (10%-13%),NA,0.10210456,0.134998783,NA,NA,NA
15,capacitygap_index1,NA,3,NA,49% (46%-52%),NA,0.462843727,0.515997305,NA,NA,NA
16,capacitygap_index1,NA,4,NA,4% (3%-6%),NA,0.032042439,0.057134729,NA,NA,NA
17,capacitygap_index1,NA,1,NA,35% (32%-37%),NA,0.320926235,0.373952222,NA,NA,NA
18,capacitygap_index1,NA,2,NA,12% (10%-13%),NA,0.10210456,0.134998783,NA,NA,NA
19,capacitygap_index1,NA,3,NA,49% (46%-52%),NA,0.462843727,0.515997305,NA,NA,NA
20,capacitygap_index1,NA,4,NA,4% (3%-6%),NA,0.032042439,0.057134729,NA,NA,NA
21,capacitygap_index1,NA,1,NA,35% (32%-37%),NA,0.320926235,0.373952222,NA,NA,NA
22,capacitygap_index1,NA,2,NA,12% (10%-13%),NA,0.10210456,0.134998783,NA,NA,NA
23,capacitygap_index1,NA,3,NA,49% (46%-52%),NA,0.462843727,0.515997305,NA,NA,NA
24,capacitygap_index1,NA,4,NA,4% (3%-6%),NA,0.032042439,0.057134729,NA,NA,NA
25,preexisting_vulnerability_index1,NA,1,NA,94% (93%-95%),NA,0.92991898,0.953972941,NA,NA,NA
26,preexisting_vulnerability_index1,NA,2,NA,6% (5%-7%),NA,0.046023917,0.070077876,NA,NA,NA
