data,Libya,idp,non_displaced,returnee
strata.names,,,,
Tripoli_non_displaced,20.37,0,23.84,0
Benghazi_non_displaced,13.12,0,15.35,0
Aljfara_non_displaced,7.8,0,9.13,0
Misrata_non_displaced,7.78,0,9.11,0
Zwara_non_displaced,7.21,0,8.44,0
Azzawya_non_displaced,7.2,0,8.43,0
Benghazi_returnee,4.5,0,0,45.43
Derna_non_displaced,4.25,0,4.97,0
Ejdabia_non_displaced,3.9,0,4.56,0
Al Jabal Al Gharbi_non_displaced,3.24,0,3.79,0
Sebha_non_displaced,2.57,0,3,0
Ubari_non_displaced,1.93,0,2.26,0
Sirt_non_displaced,1.88,0,2.2,0
Sirt_returnee,1.51,0,0,15.25
Tripoli_returnee,1.24,0,0,12.51
Wadi Ashshati_non_displaced,1.17,0,1.37,0
Murzuq_non_displaced,0.98,0,1.14,0
Derna_returnee,0.93,0,0,9.4
Tripoli_idp,0.91,19.54,0,0
Alkufra_non_displaced,0.88,0,1.03,0
Aljufra_non_displaced,0.72,0,0.84,0
Ubari_returnee,0.7,0,0,7.05
Benghazi_idp,0.63,13.67,0,0
Misrata_idp,0.6,12.92,0,0
Ghat_non_displaced,0.45,0,0.52,0
Aljfara_idp,0.39,8.41,0,0
Ejdabia_idp,0.33,7.2,0,0
Zwara_returnee,0.32,0,0,3.26
Sebha_idp,0.32,6.85,0,0
Azzawya_idp,0.27,5.86,0,0
Al Jabal Al Gharbi_returnee,0.27,0,0,2.74
Al Jabal Al Gharbi_idp,0.21,4.59,0,0
Sirt_idp,0.21,4.42,0,0
Ghat_idp,0.2,4.39,0,0
Misrata_returnee,0.17,0,0,1.71
Zwara_idp,0.16,3.43,0,0
Alkufra_idp,0.13,2.76,0,0
Aljfara_returnee,0.13,0,0,1.27
Murzuq_idp,0.11,2.41,0,0
Ubari_idp,0.08,1.78,0,0
Sebha_returnee,0.05,0,0,0.48
Wadi Ashshati_idp,0.03,0.64,0,0
Derna_idp,0.03,0.61,0,0
Alkufra_returnee,0.03,0,0,0.26
Ghat_returnee,0.02,0,0,0.25
Aljufra_idp,0.02,0.5,0,0
Ejdabia_returnee,0.01,0,0,0.13
Azzawya_returnee,0.01,0,0,0.11
Murzuq_returnee,0.01,0,0,0.1
Wadi Ashshati_returnee,0.01,0,0,0.05
mantika_label,,,,
Tripoli,22.52,19.54,23.84,12.51
Benghazi,18.26,13.67,15.35,45.43
Misrata,8.55,12.92,9.11,1.71
Aljfara,8.32,8.41,9.13,1.27
Zwara,7.7,3.43,8.44,3.26
Azzawya,7.49,5.86,8.43,0.11
Derna,5.21,0.61,4.97,9.4
Ejdabia,4.24,7.2,4.56,0.13
Al Jabal Al Gharbi,3.73,4.59,3.79,2.74
Sirt,3.59,4.42,2.2,15.25
Sebha,2.93,6.85,3,0.48
Ubari,2.71,1.78,2.26,7.05
Wadi Ashshati,1.21,0.64,1.37,0.05
Murzuq,1.1,2.41,1.14,0.1
Alkufra,1.04,2.76,1.03,0.26
Aljufra,0.74,0.5,0.84,0
Ghat,0.68,4.39,0.52,0.25
Is the interviewee the head of household? ,,,,
Yes,87.42,88.48,87.38,87.26
No,12.58,11.52,12.62,12.74
How old is the head of the household?,,,,
Average,48.03,47.07,47.96,49.06
What is the sex of the head of household?,,,,
Male,94.19,93.49,94.62,90.86
Female,5.81,6.51,5.38,9.14
Was your household living in this baladiya prior to 2011?,,,,
Yes,91.28,0,95.23,100
No,8.72,100,4.77,0
Has your household been displaced from this baladiya since 2011 as a result of the conflict?,,,,
