"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"1","How old is the head of the household?","na","NA","NA",47.6119735745124,NA,46.7086647096353,48.5152824393895,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"3.dependent.var","How old is the head of the household?","Displacement_status",NA,"idp",48.1337975434435,NA,46.9951732229949,49.272421863892,NA,NA,0.0042928648423142,"two sample ttest on difference in means (two sided)"
"3.dependent.var1","How old is the head of the household?","Displacement_status",NA,"non_displaced",47.3916075787498,NA,46.3762078495466,48.407007307953,NA,NA,0.0042928648423142,"two sample ttest on difference in means (two sided)"
"3.dependent.var2","How old is the head of the household?","Displacement_status",NA,"returnee",49.7894270819123,NA,47.9388349687343,51.6400191950904,NA,NA,0.0042928648423142,"two sample ttest on difference in means (two sided)"
"5.1","What is the sex of the head of household?",NA,"Female","NA",0.084059068534646,NA,0.0734745246524945,0.0946436124167974,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"5.2","What is the sex of the head of household?",NA,"Male","NA",0.915940931465354,NA,0.905356387583202,0.926525475347505,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"7.1","What is the sex of the head of household?","Displacement_status","Male","idp",0.920403587443946,NA,0.902637827089169,0.938169347798724,NA,NA,0.764831565304719,"Pearson's X^2: Rao & Scott adjustment"
"7.2","What is the sex of the head of household?","Displacement_status","Male","non_displaced",0.911690496215307,NA,0.895559290230056,0.927821702200558,NA,NA,0.764831565304719,"Pearson's X^2: Rao & Scott adjustment"
"7.3","What is the sex of the head of household?","Displacement_status","Male","returnee",0.917857142857143,NA,0.895110947592914,0.940603338121372,NA,NA,0.764831565304719,"Pearson's X^2: Rao & Scott adjustment"
"7.4","What is the sex of the head of household?","Displacement_status","Female","idp",0.0795964125560538,NA,0.0618306522012762,0.0973621729108314,NA,NA,0.764831565304719,"Pearson's X^2: Rao & Scott adjustment"
"7.5","What is the sex of the head of household?","Displacement_status","Female","non_displaced",0.088309503784693,NA,0.0721782977994416,0.104440709769944,NA,NA,0.764831565304719,"Pearson's X^2: Rao & Scott adjustment"
"7.6","What is the sex of the head of household?","Displacement_status","Female","returnee",0.0821428571428571,NA,0.0593966618786285,0.104889052407086,NA,NA,0.764831565304719,"Pearson's X^2: Rao & Scott adjustment"
"9","How many people live in your household (including the interviewee)?","na","NA","NA",5.13870507143417,NA,4.97925360683138,5.29815653603696,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"11.dependent.var","How many people live in your household (including the interviewee)?","Displacement_status",NA,"idp",5.08384236245336,NA,4.88844501776546,5.27923970714125,NA,NA,0.000463631345011091,"two sample ttest on difference in means (two sided)"
