"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"1","preexisting_vulnerability_score",NA,"1","NA","91% (90%-93%)",NA,0.899192190309165,0.930377514282687,NA,NA,NA
"2","preexisting_vulnerability_score",NA,"2","NA","1% (0%-2%)",NA,0.00485379129664087,0.017238023850271,NA,NA,NA
"3","preexisting_vulnerability_score",NA,"3","NA","7% (6%-9%)",NA,0.0596570647661253,0.088675128941084,NA,NA,NA
"4","preexisting_vulnerability_score",NA,"4","NA","0%",NA,-3.01743272609152e-06,9.30398675246419e-06,NA,NA,NA
"5","impact_score",NA,"1","NA","82% (80%-84%)",NA,0.801769251214466,0.842967546356863,NA,NA,NA
"6","impact_score",NA,"2","NA","2% (1%-2%)",NA,0.0145312061424468,0.0238073591582753,NA,NA,NA
"7","impact_score",NA,"3","NA","16% (14%-18%)",NA,0.1382572529197,0.178667384208248,NA,NA,NA
"8","protection_score",NA,"1","NA","82% (80%-84%)",NA,0.804584991656766,0.843938384979132,NA,NA,NA
"9","protection_score",NA,"2","NA","11% (9%-12%)",NA,0.0914571281219059,0.124825567300506,NA,NA,NA
"10","protection_score",NA,"3","NA","7% (6%-8%)",NA,0.0554248799701357,0.0797690479715544,NA,NA,NA
"11","shelter_nfi_score",NA,"1","NA","92% (91%-94%)",NA,0.910342523798897,0.938374706866237,NA,NA,NA
"12","shelter_nfi_score",NA,"2","NA","5% (4%-6%)",NA,0.038261030056536,0.059241845200257,NA,NA,NA
"13","shelter_nfi_score",NA,"3","NA","2% (1%-3%)",NA,0.0147421429661123,0.0335294536250463,NA,NA,NA
"14","shelter_nfi_score",NA,"4","NA","0%",NA,0.000728672943785244,0.00477962454312962,NA,NA,NA
"15","fs_score",NA,"1","NA","51% (48%-54%)",NA,0.484998550362923,0.538731383645202,NA,NA,NA
"16","fs_score",NA,"2","NA","48% (45%-50%)",NA,0.448656078068617,0.502448859163467,NA,NA,NA
"17","fs_score",NA,"3","NA","0% (0%-1%)",NA,0.002061798161685,0.00679800443594629,NA,NA,NA
"18","fs_score",NA,"4","NA","1% (0%-1%)",NA,0.00448736495043937,0.0118179612117194,NA,NA,NA
"19","health_score",NA,"1","NA","76% (74%-78%)",NA,0.737366536521886,0.777026594741623,NA,NA,NA
"20","health_score",NA,"2","NA","4% (3%-5%)",NA,0.0284634092415451,0.0467228864034629,NA,NA,NA
"21","health_score",NA,"3","NA","18% (16%-20%)",NA,0.161817643541794,0.196745486986236,NA,NA,NA
"22","health_score",NA,"4","NA","3% (2%-3%)",NA,0.0180811867438974,0.0337762558195564,NA,NA,NA
"23","wash_score",NA,"1","NA","84% (82%-85%)",NA,0.824524351818375,0.854696796186628,NA,NA,NA
"24","wash_score",NA,"2","NA","15% (13%-16%)",NA,0.134972677879971,0.162815959960417,NA,NA,NA
"25","wash_score",NA,"3","NA","1% (0%-2%)",NA,0.00497314083317354,0.0180141545642083,NA,NA,NA
"26","wash_score",NA,"4","NA","0%",NA,-1.40095090854249e-06,4.31970813507266e-06,NA,NA,NA
"27","education_score",NA,"1","NA","74% (72%-76%)",NA,0.716323621195169,0.760464931845569,NA,NA,NA
"28","education_score",NA,"2","NA","21% (19%-24%)",NA,0.194238255214669,0.235045247504442,NA,NA,NA
"29","education_score",NA,"3","NA","3% (2%-4%)",NA,0.0243429314556399,0.0440655233192727,NA,NA,NA
"30","education_score",NA,"4","NA","1% (1%-2%)",NA,0.00807599374023046,0.0174434957250076,NA,NA,NA
"31","capacity_gap_score",NA,"1","NA","35% (32%-37%)",NA,0.320926234960445,0.373952222155616,NA,NA,NA
"32","capacity_gap_score",NA,"2","NA","12% (10%-13%)",NA,0.102104560255304,0.134998782838546,NA,NA,NA
"33","capacity_gap_score",NA,"3","NA","49% (46%-52%)",NA,0.462843727425476,0.515997305123186,NA,NA,NA
"34","capacity_gap_score",NA,"4","NA","4% (3%-6%)",NA,0.0320424385138231,0.0571347287276036,NA,NA,NA
"35","preexisting_vulnerability_score","mantika_label","1","Al Jabal Al Gharbi","88% (82%-93%)",NA,0.820312141708431,0.930036443023697,NA,NA,NA
"36","preexisting_vulnerability_score","mantika_label","2","Al Jabal Al Gharbi","3% (0%-6%)",NA,0.00166121507475173,0.0612791469165609,NA,NA,NA
"37","preexisting_vulnerability_score","mantika_label","3","Al Jabal Al Gharbi","9% (5%-14%)",NA,0.045392655384391,0.141318397892169,NA,NA,NA
"38","preexisting_vulnerability_score","mantika_label","1","Aljfara","96% (92%-100%)",NA,0.91980803087385,0.995335438660612,NA,NA,NA
"39","preexisting_vulnerability_score","mantika_label","2","Aljfara","0%",NA,-0.000315685799519446,0.00149054342096762,NA,NA,NA
"40","preexisting_vulnerability_score","mantika_label","3","Aljfara","4% (0%-8%)",NA,0.00408683069963194,0.079594842144458,NA,NA,NA
"41","preexisting_vulnerability_score","mantika_label","1","Aljufra","28% (20%-35%)",NA,0.195678485336313,0.354776310909818,NA,NA,NA
"42","preexisting_vulnerability_score","mantika_label","3","Aljufra","72% (65%-80%)",NA,0.645223689090182,0.804321514663687,NA,NA,NA
"43","preexisting_vulnerability_score","mantika_label","1","Alkufra","98% (96%-100%)",NA,0.955173427028449,0.998129294874939,NA,NA,NA
