"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","1. Government salary","na","NA","NA",1100,137.267174763202,761.922562409117,1300,"mantika_label","Sebha"
"dependent.var3","1. Government salary","na","NA","NA",700,0,700,700,"mantika_label","Aljufra"
"dependent.var4","1. Government salary","na","NA","NA",1500,115.614944272318,1246.7977463033,1700,"mantika_label","Tripoli"
"dependent.var5","1. Government salary","na","NA","NA",1300,106.449778461542,1090.60584862981,1507.88131252359,"mantika_label","Wadi Ashshati"
"dependent.var6","1. Government salary","na","NA","NA",2203.74546251597,127.553364231163,2000,2500,"mantika_label","Aljfara"
"dependent.var7","1. Government salary","na","NA","NA",1700,178.574709923629,1300,2000,"mantika_label","Ejdabia"
"dependent.var8","1. Government salary","na","NA","NA",1400,76.5320185386981,1300,1600,"mantika_label","Alkufra"
"dependent.var9","1. Government salary","na","NA","NA",950,12.7553364231164,900,950,"mantika_label","Sirt"
"dependent.var10","1. Government salary","na","NA","NA",858.544632850067,51.0213456924654,800,1000,"mantika_label","Ghat"
"dependent.var11","1. Government salary","na","NA","NA",1600,51.0213456924654,1500,1700,"mantika_label","Al Jabal Al Gharbi"
"dependent.var12","1. Government salary","na","NA","NA",1300,25.5106728462327,1200,1300,"mantika_label","Derna"
"dependent.var13","1. Government salary","na","NA","NA",1400,51.0213456924654,1300,1500,"mantika_label","Azzawya"
"dependent.var14","1. Government salary","na","NA","NA",1250,116.906223748516,1000,1458.26397623134,"mantika_label","Zwara"
"dependent.var15","1. Government salary","na","NA","NA",850,51.0213456924654,800,1000,"mantika_label","Murzuq"
"dependent.var16","1. Government salary","na","NA","NA",1113.40567216856,115.948492591533,895.490260917773,1350,"mantika_label","Misrata"
"dependent.var17","1. Government salary","na","NA","NA",1500,153.3023009638,1300,1900.93397727234,"mantika_label","Benghazi"
"dependent.var18","1. Government salary","na","NA","NA",1300,63.7614990253551,1200,1449.94048337996,"mantika_label","Ubari"
"dependent.var19","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Sebha"
"dependent.var20","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var21","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var22","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Wadi Ashshati"
"dependent.var23","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Aljfara"
"dependent.var24","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var25","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
"dependent.var26","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Sirt"
"dependent.var27","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var28","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Al Jabal Al Gharbi"
"dependent.var29","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Derna"
"dependent.var30","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Azzawya"
"dependent.var31","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Zwara"
"dependent.var32","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Murzuq"
"dependent.var33","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Misrata"
"dependent.var34","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var35","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,"mantika_label","Ubari"
"dependent.var36","3. Non-government salaried work","na","NA","NA",500,25.5106728462327,400,500,"mantika_label","Sebha"
"dependent.var37","3. Non-government salaried work","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var38","3. Non-government salaried work","na","NA","NA",1316.89372671718,476.518377210527,1000,2867.91771460821,"mantika_label","Tripoli"
"dependent.var39","3. Non-government salaried work","na","NA","NA",542.131887880132,118.68902387452,342.15861199666,807.411036305207,"mantika_label","Wadi Ashshati"
"dependent.var40","3. Non-government salaried work","na","NA","NA",1088.65588897264,235.913041480633,876.902213770809,1801.6643433415,"mantika_label","Aljfara"
"dependent.var41","3. Non-government salaried work","na","NA","NA",700,255.106728462327,0,1000,"mantika_label","Ejdabia"
"dependent.var42","3. Non-government salaried work","na","NA","NA",880.500162127108,254.543033305743,502.209644410329,1500,"mantika_label","Alkufra"
"dependent.var43","3. Non-government salaried work","na","NA","NA",400,141.67738261284,0,555.365134690136,"mantika_label","Sirt"
"dependent.var44","3. Non-government salaried work","na","NA","NA",89.8518160904985,102.042691384931,0,400,"mantika_label","Ghat"
"dependent.var45","3. Non-government salaried work","na","NA","NA",520.018184958927,235.566087035967,0,923.402093139048,"mantika_label","Al Jabal Al Gharbi"
"dependent.var46","3. Non-government salaried work","na","NA","NA",500,198.016774944132,0,776.211494450543,"mantika_label","Derna"
"dependent.var47","3. Non-government salaried work","na","NA","NA",478.057861067381,54.3572491578201,400,613.076501295995,"mantika_label","Azzawya"
"dependent.var48","3. Non-government salaried work","na","NA","NA",325,486.402044797904,27.1906573155463,1933.85163693661,"mantika_label","Zwara"
"dependent.var49","3. Non-government salaried work","na","NA","NA",700,76.5320185386981,500,800,"mantika_label","Murzuq"
"dependent.var50","3. Non-government salaried work","na","NA","NA",750,76.8894350673713,650,951.401047047358,"mantika_label","Misrata"
"dependent.var51","3. Non-government salaried work","na","NA","NA",1200,119.620321018195,1000,1468.90304202956,"mantika_label","Benghazi"
"dependent.var52","3. Non-government salaried work","na","NA","NA",600,58.7150123567022,500,730.158619141921,"mantika_label","Ubari"
"dependent.var53","4. Casual or daily labour","na","NA","NA",0,127.553364231163,0,500,"mantika_label","Sebha"
"dependent.var54","4. Casual or daily labour",NA,NA,"NA",NA,NA,NA,NA,"mantika_label","Aljufra"
"dependent.var55","4. Casual or daily labour","na","NA","NA",0,255.106728462327,0,1000,"mantika_label","Tripoli"
"dependent.var56","4. Casual or daily labour","na","NA","NA",1100,139.902055898153,687.304904583235,1235.71088643021,"mantika_label","Wadi Ashshati"
"dependent.var57","4. Casual or daily labour","na","NA","NA",339.219499286299,369.904756270374,50,1500,"mantika_label","Aljfara"
"dependent.var58","4. Casual or daily labour","na","NA","NA",590.524886221724,391.911370606758,0,1536.26434304195,"mantika_label","Ejdabia"
"dependent.var59","4. Casual or daily labour","na","NA","NA",500,191.54913501667,66.0692185334976,816.928030338446,"mantika_label","Alkufra"
"dependent.var60","4. Casual or daily labour",NA,NA,"NA",NA,NA,NA,NA,"mantika_label","Sirt"
"dependent.var61","4. Casual or daily labour",NA,NA,"NA",NA,NA,NA,NA,"mantika_label","Ghat"
"dependent.var62","4. Casual or daily labour","na","NA","NA",216.166139916144,1020.42691384931,0,4000,"mantika_label","Al Jabal Al Gharbi"
"dependent.var63","4. Casual or daily labour","na","NA","NA",350,255.106728462327,0,1000,"mantika_label","Derna"
"dependent.var64","4. Casual or daily labour","na","NA","NA",324.930483956634,251.303425557043,0,985.091326566693,"mantika_label","Azzawya"
"dependent.var65","4. Casual or daily labour","na","NA","NA",223.465452043889,99.1513097866376,0,388.665992403567,"mantika_label","Zwara"
"dependent.var66","4. Casual or daily labour","na","NA","NA",200,328.363697900135,150,1437.16204342931,"mantika_label","Murzuq"
"dependent.var67","4. Casual or daily labour","na","NA","NA",100,637.766821155818,0,2500,"mantika_label","Misrata"
"dependent.var68","4. Casual or daily labour","na","NA","NA",1000,495.740131042207,56.7343949322142,2000,"mantika_label","Benghazi"
"dependent.var69","4. Casual or daily labour","na","NA","NA",65.8821260865565,112.944051379579,0,442.732545944031,"mantika_label","Ubari"
"dependent.var70","5. Income from own business or commerce","na","NA","NA",1000,125.032887898861,1000,1490.1199143296,"mantika_label","Sebha"
"dependent.var71","5. Income from own business or commerce",NA,NA,"NA",NA,NA,NA,NA,"mantika_label","Aljufra"
