"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","1. Government salary","na","NA","NA",1400,38.266009269349,1350,1500,NA,NA
"dependent.var50","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var51","3. Non-government salaried work","na","NA","NA",1000,0,1000,1000,NA,NA
"dependent.var52","4. Casual or daily labour","na","NA","NA",500,76.5320185386981,300,600,NA,NA
"dependent.var53","5. Income from own business or commerce","na","NA","NA",1300,127.553364231163,1000,1500,NA,NA
"dependent.var54","6. Remittances","na","NA","NA",0,0,0,0,NA,NA
"dependent.var55","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var56","8. Humanitarian assistance","na","NA","NA",0,0,0,0,NA,NA
"dependent.var57","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var58","10. Other (specify)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var59","1. Food items","na","NA","NA",500,0,500,500,NA,NA
"dependent.var60","2. Rent","na","NA","NA",400,12.7553364231164,400,450,NA,NA
"dependent.var61","3. Shelter maintenance","na","NA","NA",0,0,0,0,NA,NA
"dependent.var62","4. Water (from all sources combined)","na","NA","NA",35,2.55106728462327,30,40,NA,NA
"dependent.var63","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",50,0,50,50,NA,NA
"dependent.var64","6. Utilities (electricity and gas connections)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var65","7. Fuel (for cooking, for vehicles, etc.)","na","NA","NA",60,2.55106728462327,50,60,NA,NA
"dependent.var66","8. Health-related expenditures (healthcare, medicine, etc.)","na","NA","NA",70,9.7230764342686,50,88.1137592601932,NA,NA
"dependent.var67","9. Education-related expenditures (school fees, supplies, uniforms, etc.)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var68","10. Transportation ","na","NA","NA",0,0,0,0,NA,NA
"dependent.var69","11. Mobile phone credit","na","NA","NA",50,0,50,50,NA,NA
"dependent.var70","12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var71","13. Debt repayment","na","NA","NA",0,0,0,0,NA,NA
"dependent.var72","14. All other expenditures (specify)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var73","1. Government salary","strata.names",NA,"Sebha_idp",800,76.5320185386981,650,950,NA,NA
"dependent.var1","1. Government salary","strata.names",NA,"Aljufra_idp",710,8.92873549618145,692.5,727.5,NA,NA
"dependent.var2","1. Government salary","strata.names",NA,"Aljufra_non_displaced",700,0,700,700,NA,NA
"dependent.var3","1. Government salary","strata.names",NA,"Tripoli_idp",1500,0,1500,1500,NA,NA
"dependent.var4","1. Government salary","strata.names",NA,"Wadi Ashshati_non_displaced",1300,51.0213456924654,1200,1400,NA,NA
"dependent.var5","1. Government salary","strata.names",NA,"Aljfara_non_displaced",2000,140.30870065428,1725,2275,NA,NA
"dependent.var6","1. Government salary","strata.names",NA,"Sebha_non_displaced",1200,153.064037077396,900,1500,NA,NA
"dependent.var7","1. Government salary","strata.names",NA,"Aljfara_idp",1700,127.553364231163,1450,1950,NA,NA
"dependent.var8","1. Government salary","strata.names",NA,"Ejdabia_non_displaced",1650,127.553364231163,1400,1900,NA,NA
"dependent.var9","1. Government salary","strata.names",NA,"Tripoli_non_displaced",1500,51.0213456924654,1400,1600,NA,NA
"dependent.var10","1. Government salary","strata.names",NA,"Alkufra_idp",1200,25.5106728462327,1150,1250,NA,NA
"dependent.var11","1. Government salary","strata.names",NA,"Sirt_non_displaced",950,38.266009269349,875,1025,NA,NA
"dependent.var12","1. Government salary","strata.names",NA,"Ghat_non_displaced",950,89.2873549618145,775,1125,NA,NA
"dependent.var13","1. Government salary","strata.names",NA,"Derna_returnee",1300,76.5320185386981,1150,1450,NA,NA
"dependent.var14","1. Government salary","strata.names",NA,"Al Jabal Al Gharbi_non_displaced",1500,51.0213456924654,1400,1600,NA,NA
"dependent.var15","1. Government salary","strata.names",NA,"Azzawya_non_displaced",1350,38.266009269349,1275,1425,NA,NA
"dependent.var16","1. Government salary","strata.names",NA,"Zwara_non_displaced",1200,89.2873549618145,1025,1375,NA,NA
"dependent.var17","1. Government salary","strata.names",NA,"Ejdabia_idp",1300,89.2873549618145,1125,1475,NA,NA
"dependent.var18","1. Government salary","strata.names",NA,"Alkufra_non_displaced",1500,102.042691384931,1300,1700,NA,NA
"dependent.var19","1. Government salary","strata.names",NA,"Al Jabal Al Gharbi_idp",1700,153.064037077396,1400,2000,NA,NA
"dependent.var20","1. Government salary","strata.names",NA,"Sirt_returnee",900,12.7553364231164,875,925,NA,NA
"dependent.var21","1. Government salary","strata.names",NA,"Sirt_idp",950,25.5106728462327,900,1000,NA,NA
"dependent.var22","1. Government salary","strata.names",NA,"Murzuq_non_displaced",850,51.0213456924654,750,950,NA,NA
"dependent.var23","1. Government salary","strata.names",NA,"Sebha_returnee",900,89.2873549618145,725,1075,NA,NA
"dependent.var24","1. Government salary","strata.names",NA,"Misrata_non_displaced",1150,114.798027808047,925,1375,NA,NA
"dependent.var25","1. Government salary","strata.names",NA,"Misrata_idp",950,102.042691384931,750,1150,NA,NA
"dependent.var26","1. Government salary","strata.names",NA,"Zwara_idp",1300,58.6745475463352,1185,1415,NA,NA
