"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var","gvt_salary_without_0","NA","NA","NA",1400,25.5106728462327,1400,1500,NA,NA,NA
"dependent.var3","gvt_social_benefits_without_0","NA","NA","NA",600,25.5106728462327,500,600,NA,NA,NA
"dependent.var4","non_gvt_salary_without_0","NA","NA","NA",1000,51.0213456924654,1000,1200,NA,NA,NA
"dependent.var5","casual_labour_without_0","NA","NA","NA",600,127.553364231163,500,1000,NA,NA,NA
"dependent.var6","own_business_income_without_0","NA","NA","NA",1600,127.553364231163,1500,2000,NA,NA,NA
"dependent.var7","remittances_without_0","NA","NA","NA",800,204.085382769862,700,1500,NA,NA,NA
"dependent.var8","family_support_without_0","NA","NA","NA",300,51.0213456924654,300,500,NA,NA,NA
"dependent.var9","humanitarian_assistance_without_0","NA","NA","NA",200,89.2873549618145,150,500,NA,NA,NA
"dependent.var10","zakat_without_0","NA","NA","NA",200,38.266009269349,150,300,NA,NA,NA
"dependent.var11","income_other_without_0","NA","NA","NA",1000,566.053147814136,500,2718.88756610247,NA,NA,NA
"dependent.var12","total_income_without_0","NA","NA","NA",1800,35.7149419847258,1700,1840,NA,NA,NA
"dependent.var13","food_expenditure_without_0","NA","NA","NA",500,0,500,500,NA,NA,NA
"dependent.var14","rent_expenditure_without_0","NA","NA","NA",400,12.7553364231164,400,450,NA,NA,NA
"dependent.var15","shelter_maintenance_expenditure_without_0","NA","NA","NA",100,5.10213456924654,100,120,NA,NA,NA
"dependent.var16","water_expenditure_without_0","NA","NA","NA",55,2.55106728462327,50,60,NA,NA,NA
"dependent.var17","nfi_expenditure_without_0","NA","NA","NA",70,2.64112862981943,65,75.3530339859674,NA,NA,NA
"dependent.var18","utilities_expenditure_without_0","NA","NA","NA",35,2.55106728462327,30,40,NA,NA,NA
"dependent.var19","fuel_expenditure_without_0","NA","NA","NA",60,1.27553364231164,60,65,NA,NA,NA
"dependent.var20","health_related_expenditure_without_0","NA","NA","NA",150,5.10213456924654,130,150,NA,NA,NA
