"","issue","affected_files","affected_variables","severity","comment"
"1","variable 'c(""mantika"", ""mantika"", ""mantika"")' used in 'relevant' condition not found in question 'name'","questions","hi_tripoli","critical","skip logic will not be calculated correctly"
"2","variable 'c(""mantika"", ""mantika"", ""mantika"")' used in 'relevant' condition not found in question 'name'","questions","hi_misrata","critical","skip logic will not be calculated correctly"
"3","variable 'c(""mantika"", ""mantika"", ""mantika"")' used in 'relevant' condition not found in question 'name'","questions","hi_benghazi","critical","skip logic will not be calculated correctly"
"4","failed to evaluate 'relevant' condition","questions","physical_cognitive_male_children_err","critical","condition that failed: 'selected(${physical_cognitive_difficulties},'yes_male_children*') and ${nb_children_male}=0'.  --- evaluation failed with error:  could not find function ""selected"""
"5","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_nonproductive_hh_assets","minor","value:  noneed_to"
"6","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_nonproductive_hh_assets","minor","value:  use_this_coping_strategy"
"7","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_productive_hh_assets","minor","value:  noneed_to"
"8","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_productive_hh_assets","minor","value:  use_this_coping_strategy"
"9","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","spent_savings","minor","value:  noneed_to"
"10","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","spent_savings","minor","value:  use_this_coping_strategy"
"11","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_money","minor","value:  noneed_to"
"12","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_money","minor","value:  use_this_coping_strategy"
"13","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_purchased_oncredit_food","minor","value:  noneed_to"
"14","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_purchased_oncredit_food","minor","value:  use_this_coping_strategy"
"15","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_essential_nfi","minor","value:  noneed_to"
"16","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_essential_nfi","minor","value:  use_this_coping_strategy"
"17","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_health_education","minor","value:  noneed_to"
"18","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_health_education","minor","value:  use_this_coping_strategy"
"19","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_dropped_school","minor","value:  noneed_to"
"20","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_dropped_school","minor","value:  use_this_coping_strategy"
"21","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","delayed_skipped_rent","minor","value:  noneed_to"
"22","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","delayed_skipped_rent","minor","value:  use_this_coping_strategy"
"23","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","begging","minor","value:  noneed_to"
"24","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","begging","minor","value:  use_this_coping_strategy"
"25","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","took_additional_job","minor","value:  noneed_to"
"26","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","took_additional_job","minor","value:  use_this_coping_strategy"
"27","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","adult_accepting_degrading_illegal_work","minor","value:  noneed_to"
"28","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","adult_accepting_degrading_illegal_work","minor","value:  use_this_coping_strategy"
"29","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","minor_accepting_degrading_illegal_work","minor","value:  noneed_to"
"30","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","minor_accepting_degrading_illegal_work","minor","value:  use_this_coping_strategy"
"31","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_marriage","minor","value:  noneed_to"
"32","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_marriage","minor","value:  use_this_coping_strategy"
"33","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","other_cash_coping_mechanism","minor","value:  noneed_to"
"34","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","other_cash_coping_mechanism","minor","value:  use_this_coping_strategy"
"35","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","chronicdisease_services_unavailable","minor","value:  .specialized_consultation_unavailable"
"36","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","baladiya_before_displacement","minor","value:  other"
