"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1","Is the interviewee the head of household? ",NA,"No","NA",0.140052067989181,NA,0.117749711349936,0.162354424628427,NA,NA
"2","Is the interviewee the head of household? ",NA,"Yes","NA",0.859947932010819,NA,0.837645575371573,0.882250288650064,NA,NA
"dependent.var","Are you willing and able to respond to the questions on behalf of the household?",NA,"Yes","NA",1,NA,NA,NA,NA,NA
"dependent.var1","How old is the head of the household?","na","NA","NA",48.1552202966168,NA,47.435500967556,48.8749396256776,NA,NA
"110","What is the sex of the head of household?",NA,"Female","NA",0.0663933058834972,NA,0.0513534704954324,0.0814331412715619,NA,NA
"210","What is the sex of the head of household?",NA,"Male","NA",0.933606694116503,NA,0.918566858728438,0.948646529504568,NA,NA
"111","Was your household living in this baladiya prior to 2011?",NA,"No","NA",0.0903386193077221,NA,0.0761396215203258,0.104537617095118,NA,NA
"211","Was your household living in this baladiya prior to 2011?",NA,"Yes","NA",0.909661380692278,NA,0.895462382904882,0.923860378479674,NA,NA
"112","Has your household been displaced from this baladiya since 2011 as a result of the conflict?",NA,"No","NA",0.912867291892862,NA,0.912867291892862,0.912867291892862,NA,NA
"212","Has your household been displaced from this baladiya since 2011 as a result of the conflict?",NA,"Yes","NA",0.0871327081071377,NA,0.0871327081071377,0.0871327081071377,NA,NA
"113","Has your household been displaced from your baladiya of origin because of the conflict?",NA,"No","NA",0.944085225132769,NA,0.923029164887222,0.965141285378316,NA,NA
"213","Has your household been displaced from your baladiya of origin because of the conflict?",NA,"Yes","NA",0.0559147748672307,NA,0.0348587146216839,0.0769708351127775,NA,NA
"dependent.var2","How many people live in your household (including the interviewee)?","na","NA","NA",5.15935870724219,NA,5.0570357766403,5.26168163784407,NA,NA
"dependent.var3","Infants 0-5years: (male)","na","NA","NA",0.312417676959753,NA,0.280032602165822,0.344802751753683,NA,NA
"dependent.var4","Children 6-14 years: (male)","na","NA","NA",0.536117223958131,NA,0.49187705773952,0.580357390176743,NA,NA
"dependent.var5","Youth 15-17 years: (male)","na","NA","NA",0.32698800950986,NA,0.291707211457349,0.36226880756237,NA,NA
"dependent.var6","Adults 18-64: (male)","na","NA","NA",1.47510785846803,NA,1.42385831843683,1.52635739849923,NA,NA
"dependent.var7","Elderly 65+ years: (male)","na","NA","NA",0.100901346275152,NA,0.0819177605938669,0.119884931956436,NA,NA
"dependent.var8","nb_male","na","NA","NA",2.75153211517092,NA,2.67450051579348,2.82856371454836,NA,NA
"dependent.var9","under18_male","na","NA","NA",1.17552291042774,NA,1.10712756311555,1.24391825773994,NA,NA
"dependent.var10","over18_male","na","NA","NA",1.57600920474318,NA,1.51981160607124,1.63220680341512,NA,NA
"dependent.var11","school_aged_boys","na","NA","NA",0.863105233467991,NA,0.801276833398095,0.924933633537886,NA,NA
"dependent.var12","Infants 0-5years: (female)","na","NA","NA",0.282589651898245,NA,0.247150345608913,0.318028958187576,NA,NA
"dependent.var13","Children 6-14 years: (female)","na","NA","NA",0.378734837794859,NA,0.341201214954848,0.41626846063487,NA,NA
"dependent.var14","Youth 15-17 years: (female)","na","NA","NA",0.239325724523045,NA,0.208500988627662,0.270150460418429,NA,NA
"dependent.var15","Adults 18-64: (female)","na","NA","NA",1.42681848360752,NA,1.38214193463703,1.47149503257802,NA,NA
"dependent.var16","Elderly 65+ years: (female)","na","NA","NA",0.0803578942475893,NA,0.0612827123273641,0.0994330761678145,NA,NA
"dependent.var17","nb_female","na","NA","NA",2.40782659207126,NA,2.3434910775841,2.47216210655843,NA,NA
"dependent.var18","under18_female","na","NA","NA",0.900650214216149,NA,0.841401717082146,0.959898711350152,NA,NA
"dependent.var19","over18_female","na","NA","NA",1.50717637785511,NA,1.45911843690184,1.55523431880839,NA,NA
"dependent.var20","nb_ind_hh","na","NA","NA",5.15935870724219,NA,5.0570357766403,5.26168163784407,NA,NA
"dependent.var21","nb_under18","na","NA","NA",2.07617312464389,NA,1.97880603132194,2.17354021796584,NA,NA
"dependent.var22","nb_over18","na","NA","NA",3.08318558259829,NA,2.99498700184142,3.17138416335517,NA,NA
"dependent.var23","school_aged_girls","na","NA","NA",0.618060562317904,NA,0.569064392706102,0.667056731929707,NA,NA
