"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"1","Is the interviewee the head of household? ",NA,"No","NA",0.120392468841156,NA,0.110004717484981,0.130780220197331,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"2","Is the interviewee the head of household? ",NA,"Yes","NA",0.879607531158844,NA,0.869219779802669,0.889995282515019,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"dependent.var","Are you willing and able to respond to the questions on behalf of the household?",NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"dependent.var1","How old is the head of the household?","na","NA","NA",48.1159928923327,0.381517581145057,47.3682321738196,48.8637536108459,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"110","What is the sex of the head of household?",NA,"Female","NA",0.0769026783346592,NA,0.0683977258018685,0.08540763086745,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"210","What is the sex of the head of household?",NA,"Male","NA",0.923097321665341,NA,0.91459236913255,0.931602274198131,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"111","Was your household living in this baladiya prior to 2011?",NA,"No","NA",0.351896048793424,NA,0.336651767788396,0.367140329798451,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"211","Was your household living in this baladiya prior to 2011?",NA,"Yes","NA",0.648103951206576,NA,0.632859670201549,0.663348232211604,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"112","Has your household been displaced from this baladiya since 2011 as a result of the conflict?",NA,"No","NA",0.583060556464812,NA,0.563509074568854,0.60261203836077,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"212","Has your household been displaced from this baladiya since 2011 as a result of the conflict?",NA,"Yes","NA",0.416939443535188,NA,0.39738796163923,0.436490925431146,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"113","Has your household been displaced from your baladiya of origin because of the conflict?",NA,"No","NA",0.0384325546345139,NA,0.0280855217019506,0.0487795875670772,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"213","Has your household been displaced from your baladiya of origin because of the conflict?",NA,"Yes","NA",0.961567445365486,NA,0.951220412432923,0.971914478298049,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
