data,Overall,Sebha_idp,Aljufra_idp,Aljufra_non_displaced,Tripoli_idp,Wadi Ashshati_non_displaced,Wadi Ashshati_idp,Aljfara_non_displaced,Sebha_non_displaced,Tripoli_non_displaced,Aljfara_idp,Ejdabia_non_displaced,Tripoli_returnee,Alkufra_idp,Sirt_non_displaced,Ghat_non_displaced,Derna_returnee,Al Jabal Al Gharbi_non_displaced,Azzawya_non_displaced,Zwara_non_displaced,Ejdabia_idp,Alkufra_non_displaced,Al Jabal Al Gharbi_idp,Sirt_returnee,Sirt_idp,Murzuq_non_displaced,Sebha_returnee,Misrata_non_displaced,Misrata_idp,Ghat_idp,Zwara_idp,Murzuq_idp,Al Jabal Al Gharbi_returnee,Alkufra_returnee,Benghazi_returnee,Benghazi_idp,Derna_non_displaced,Benghazi_non_displaced,Azzawya_idp,Aljfara_returnee,Derna_idp,Murzuq_returnee,Azzawya_returnee,Ubari_non_displaced,Ubari_idp,Zwara_returnee,Ghat_returnee,Misrata_returnee,Wadi Ashshati_returnee,Ubari_returnee,Ejdabia_returnee,Sebha,Aljufra,Tripoli,Wadi Ashshati,Aljfara,Ejdabia,Alkufra,Sirt,Ghat,Derna,Al Jabal Al Gharbi,Azzawya,Zwara,Murzuq,Misrata,Benghazi,Ubari
Is the interviewee the head of household? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,87.4222412393462,81.25,100,100,89.6907216494845,97.3451327433628,95.2941176470588,89.5833333333333,82.8828828828829,86.6071428571429,89.8148148148148,88.695652173913,90.5172413793103,92.2330097087379,97.2477064220184,77.6785714285714,91.588785046729,70.7964601769911,95.7627118644068,96.3302752293578,93.6936936936937,71.9298245614035,90.7407407407407,98.2758620689655,95.2830188679245,88.3495145631068,86.9565217391304,81.8965517241379,84.4827586206897,90.0900900900901,98.0392156862745,86.2068965517241,82.4074074074074,77.5,80.672268907563,80.7017543859649,98.0769230769231,80,95.5357142857143,80.8080808080808,97.5609756097561,94.8717948717949,94.7368421052632,90.4347826086957,84.3137254901961,94.3396226415094,94.8717948717949,83.4862385321101,94.4444444444444,94.7368421052632,95,82.7725697951749,100,86.9466131415729,97.2817108245472,89.4614012091673,89.107988221425,74.5834177825956,97.5681628056229,82.0429745878903,96.9121460411804,72.7826599880608,95.7529449702836,96.2819431916051,88.1892188085693,82.1094253806471,80.1902460880995,91.3579723883611
No,12.5777587606538,18.75,0,0,10.3092783505155,2.65486725663717,4.70588235294118,10.4166666666667,17.1171171171171,13.3928571428571,10.1851851851852,11.304347826087,9.48275862068965,7.76699029126214,2.75229357798165,22.3214285714286,8.41121495327103,29.2035398230088,4.23728813559322,3.6697247706422,6.30630630630631,28.0701754385965,9.25925925925926,1.72413793103448,4.71698113207547,11.6504854368932,13.0434782608696,18.1034482758621,15.5172413793103,9.90990990990991,1.96078431372549,13.7931034482759,17.5925925925926,22.5,19.327731092437,19.2982456140351,1.92307692307692,20,4.46428571428571,19.1919191919192,2.4390243902439,5.12820512820513,5.26315789473684,9.56521739130435,15.6862745098039,5.66037735849057,5.12820512820513,16.5137614678899,5.55555555555556,5.26315789473684,5,17.2274302048251,0,13.0533868584271,2.71828917545284,10.5385987908326,10.892011778575,25.4165822174044,2.43183719437708,17.9570254121097,3.08785395881962,27.2173400119392,4.24705502971643,3.71805680839488,11.8107811914307,17.8905746193529,19.8097539119005,8.64202761163891
How old is the head of the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How old is the head of the household?,48.0262469858901,52.1160714285714,42.2207792207792,41.7105263157895,45.8041237113402,49.3982300884956,47.2470588235294,44.9583333333333,52.1801801801802,46.6696428571429,45.2962962962963,47.6173913043478,50.5344827586207,42.3398058252427,46.5779816513761,50.6339285714286,44.0467289719626,45.5221238938053,46.7203389830508,44.7889908256881,45.8288288288288,49.7017543859649,43.8333333333333,45.4568965517241,45.8584905660377,49.6796116504854,50.9565217391304,48.2844827586207,44.7413793103448,46.7117117117117,46.2156862745098,50.4137931034483,44.9259259259259,50.9125,51.9495798319328,51.6754385964912,47.1538461538462,54.3391304347826,48.0892857142857,46.8383838383838,50.8780487804878,52.1025641025641,48.2982456140351,46.9217391304348,49.6862745098039,45.8962264150943,45.5128205128205,45.6605504587156,46.3333333333333,46.5438596491228,46.4833333333333,52.1531895507627,41.7265979501558,46.8476294038352,49.3316129282838,45.0026460317482,47.4731437372962,48.8203513495224,46.065231199497,49.2660485917571,46.6176076761513,45.3821236016405,46.7723866161647,44.8649811701502,49.7753405691263,47.9839916966794,53.6570285899053,46.908382541905
What is the sex of the head of household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,94.194910369772,91.0714285714286,100,95.6140350877193,95.8762886597938,99.1150442477876,95.2941176470588,97.9166666666667,92.7927927927928,95.5357142857143,100,94.7826086956522,95.6896551724138,90.2912621359223,92.6605504587156,88.3928571428571,92.5233644859813,91.1504424778761,91.5254237288136,95.4128440366973,94.5945945945946,89.4736842105263,95.3703703703704,92.2413793103448,93.3962264150943,86.4077669902913,85.8695652173913,90.5172413793103,97.4137931034483,81.981981981982,93.1372549019608,87.3563218390805,90.7407407407407,93.75,87.3949579831933,86.8421052631579,97.1153846153846,96.5217391304348,96.4285714285714,98.989898989899,97.5609756097561,97.4358974358974,91.2280701754386,93.0434782608696,88.2352941176471,99.0566037735849,93.5897435897436,99.0825688073395,94.4444444444444,92.1052631578947,96.6666666666667,92.4927873661002,95.7521815318151,95.557903227574,99.0000839732472,98.0306861277911,94.7733517483713,89.6818773652867,92.5261752850479,86.6495891037473,96.2954087743466,91.3619374556995,91.7029963326584,95.5189233035287,86.6006312644018,91.1707771837341,93.9336440409367,92.6552939568585
Female,5.80508963022802,8.92857142857143,0,4.3859649122807,4.12371134020619,0.884955752212389,4.70588235294118,2.08333333333333,7.20720720720721,4.46428571428571,0,5.21739130434783,4.31034482758621,9.70873786407767,7.3394495412844,11.6071428571429,7.47663551401869,8.84955752212389,8.47457627118644,4.58715596330275,5.40540540540541,10.5263157894737,4.62962962962963,7.75862068965517,6.60377358490566,13.5922330097087,14.1304347826087,9.48275862068965,2.58620689655172,18.018018018018,6.86274509803922,12.6436781609195,9.25925925925926,6.25,12.6050420168067,13.1578947368421,2.88461538461538,3.47826086956522,3.57142857142857,1.01010101010101,2.4390243902439,2.56410256410256,8.7719298245614,6.95652173913043,11.7647058823529,0.943396226415094,6.41025641025641,0.917431192660551,5.55555555555556,7.89473684210526,3.33333333333333,7.50721263389983,4.24781846818495,4.44209677242597,0.999916026752762,1.96931387220886,5.22664825162867,10.3181226347133,7.47382471495211,13.3504108962527,3.70459122565343,8.63806254430048,8.29700366734157,4.48107669647132,13.3993687355982,8.82922281626586,6.06635595906328,7.34470604314151
Was your household living in this baladiya prior to 2011?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,91.2809887382557,0,0,98.2456140350877,0,98.2300884955752,0,79.1666666666667,100,94.6428571428571,0,98.2608695652174,100,0,100,96.4285714285714,100,95.5752212389381,100,99.0825688073395,0,97.3684210526316,0,100,0,97.0873786407767,100,97.4137931034483,0,0,0,0,100,100,100,0,96.1538461538462,95.6521739130435,0,100,0,100,100,97.3913043478261,0,100,100,100,100,100,100,89.1585277434213,95.1511336873428,91.1275306438724,95.8049429134761,75.7663678164378,90.5249515761623,85.3764076737694,94.2926744388377,67.4992723520229,96.3205519403112,90.4316312577444,96.3693777985698,97.0743386467443,87.2605675027889,90.6354473719784,93.4033353333337,95.1017221934588
