data,Libya,Sebha_idp,Aljufra_idp,Aljufra_non_displaced,Tripoli_idp,Wadi Ashshati_non_displaced,Wadi Ashshati_idp,Aljfara_non_displaced,Sebha_non_displaced,Tripoli_non_displaced,Aljfara_idp,Ejdabia_non_displaced,Tripoli_returnee,Alkufra_idp,Sirt_non_displaced,Ghat_non_displaced,Derna_returnee,Al Jabal Al Gharbi_non_displaced,Azzawya_non_displaced,Zwara_non_displaced,Ejdabia_idp,Alkufra_non_displaced,Al Jabal Al Gharbi_idp,Sirt_returnee,Sirt_idp,Murzuq_non_displaced,Sebha_returnee,Misrata_non_displaced,Misrata_idp,Ghat_idp,Zwara_idp,Murzuq_idp,Al Jabal Al Gharbi_returnee,Alkufra_returnee,Benghazi_returnee,Benghazi_idp,Derna_non_displaced,Benghazi_non_displaced,Azzawya_idp,Aljfara_returnee,Derna_idp,Murzuq_returnee,Azzawya_returnee,Ubari_non_displaced,Ubari_idp,Zwara_returnee,Ghat_returnee,Misrata_returnee,Wadi Ashshati_returnee,Ubari_returnee,Ejdabia_returnee
mantika_label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripoli,22.52,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benghazi,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Misrata,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Aljfara,8.32,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
Zwara,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Azzawya,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0
Derna,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Ejdabia,4.24,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Al Jabal Al Gharbi,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirt,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebha,2.93,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubari,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0
Wadi Ashshati,1.21,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Murzuq,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
Alkufra,1.04,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aljufra,0.74,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghat,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Is the interviewee the head of household? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,87.42,81.25,100,100,89.69,97.35,95.29,89.58,82.88,86.61,89.81,88.7,90.52,92.23,97.25,77.68,91.59,70.8,95.76,96.33,93.69,71.93,90.74,98.28,95.28,88.35,86.96,81.9,84.48,90.09,98.04,86.21,82.41,77.5,80.67,80.7,98.08,80,95.54,80.81,97.56,94.87,94.74,90.43,84.31,94.34,94.87,83.49,94.44,94.74,95
No,12.58,18.75,0,0,10.31,2.65,4.71,10.42,17.12,13.39,10.19,11.3,9.48,7.77,2.75,22.32,8.41,29.2,4.24,3.67,6.31,28.07,9.26,1.72,4.72,11.65,13.04,18.1,15.52,9.91,1.96,13.79,17.59,22.5,19.33,19.3,1.92,20,4.46,19.19,2.44,5.13,5.26,9.57,15.69,5.66,5.13,16.51,5.56,5.26,5
How old is the head of the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How old is the head of the household?,48.0262469858901,52.1160714285714,42.2207792207792,41.7105263157895,45.8041237113402,49.3982300884956,47.2470588235294,44.9583333333333,52.1801801801802,46.6696428571429,45.2962962962963,47.6173913043478,50.5344827586207,42.3398058252427,46.5779816513761,50.6339285714286,44.0467289719626,45.5221238938053,46.7203389830508,44.7889908256881,45.8288288288288,49.7017543859649,43.8333333333333,45.4568965517241,45.8584905660377,49.6796116504854,50.9565217391304,48.2844827586207,44.7413793103448,46.7117117117117,46.2156862745098,50.4137931034483,44.9259259259259,50.9125,51.9495798319328,51.6754385964912,47.1538461538462,54.3391304347826,48.0892857142857,46.8383838383838,50.8780487804878,52.1025641025641,48.2982456140351,46.9217391304348,49.6862745098039,45.8962264150943,45.5128205128205,45.6605504587156,46.3333333333333,46.5438596491228,46.4833333333333
What is the sex of the head of household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,94.19,91.07,100,95.61,95.88,99.12,95.29,97.92,92.79,95.54,100,94.78,95.69,90.29,92.66,88.39,92.52,91.15,91.53,95.41,94.59,89.47,95.37,92.24,93.4,86.41,85.87,90.52,97.41,81.98,93.14,87.36,90.74,93.75,87.39,86.84,97.12,96.52,96.43,98.99,97.56,97.44,91.23,93.04,88.24,99.06,93.59,99.08,94.44,92.11,96.67
Female,5.81,8.93,0,4.39,4.12,0.88,4.71,2.08,7.21,4.46,0,5.22,4.31,9.71,7.34,11.61,7.48,8.85,8.47,4.59,5.41,10.53,4.63,7.76,6.6,13.59,14.13,9.48,2.59,18.02,6.86,12.64,9.26,6.25,12.61,13.16,2.88,3.48,3.57,1.01,2.44,2.56,8.77,6.96,11.76,0.94,6.41,0.92,5.56,7.89,3.33
Was your household living in this baladiya prior to 2011?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,91.28,0,0,98.25,0,98.23,0,79.17,100,94.64,0,98.26,100,0,100,96.43,100,95.58,100,99.08,0,97.37,0,100,0,97.09,100,97.41,0,0,0,0,100,100,100,0,96.15,95.65,0,100,0,100,100,97.39,0,100,100,100,100,100,100
No,8.72,100,100,1.75,100,1.77,100,20.83,0,5.36,100,1.74,0,100,0,3.57,0,4.42,0,0.92,100,2.63,100,0,100,2.91,0,2.59,100,100,100,100,0,0,0,100,3.85,4.35,100,0,100,0,0,2.61,100,0,0,0,0,0,0
Has your household been displaced from this baladiya since 2011 as a result of the conflict?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,89.6,NA,NA,100,NA,100,NA,100,100,100,NA,100,0,NA,100,100,0,100,100,100,NA,100,NA,0,NA,100,0,100,NA,NA,NA,NA,0,0,0,NA,100,100,NA,0,NA,0,0,100,NA,0,0,0,0,0,0
Yes,10.4,NA,NA,0,NA,0,NA,0,0,0,NA,0,100,NA,0,0,100,0,0,0,NA,0,NA,100,NA,0,100,0,NA,NA,NA,NA,100,100,100,NA,0,0,NA,100,NA,100,100,0,NA,100,100,100,100,100,100
Has your household been displaced from your baladiya of origin because of the conflict?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,94.09,0,0,100,0,100,0,100,NA,100,0,100,NA,0,NA,100,NA,100,NA,100,0,100,0,NA,0,100,NA,100,0,0,0,0,NA,NA,NA,0,100,100,0,NA,0,NA,NA,100,0,NA,NA,NA,NA,NA,NA
Yes,5.91,100,100,0,100,0,100,0,NA,0,100,0,NA,100,NA,0,NA,0,NA,0,100,0,100,NA,100,0,NA,0,100,100,100,100,NA,NA,NA,100,0,0,100,NA,100,NA,NA,0,100,NA,NA,NA,NA,NA,NA
Displacement_status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non_displaced,85.45,0,0,100,0,100,0,100,100,100,0,100,0,0,100,100,0,100,100,100,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0
returnee,9.92,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,100,100,0,0,0,0,100,0,100,100,0,0,100,100,100,100,100,100
idp,4.64,100,100,0,100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0,100,0,0,0,100,100,100,100,0,0,0,100,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0
How many people live in your household (including the interviewee)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many people live in your household (including the interviewee)?,5.13798958418888,6.09821428571429,5.61038961038961,5.81578947368421,5.23711340206186,5.84955752212389,5.56470588235294,4.71875,6.92792792792793,4.97321428571429,5.11111111111111,5.7304347826087,4.78448275862069,4.62135922330097,5.37614678899083,5.53571428571429,4.03738317757009,5.07964601769912,4.92372881355932,5.34862385321101,5.58558558558559,5.66666666666667,4.69444444444444,5.26724137931035,4.99056603773585,5.51456310679612,6.22826086956522,5,4.68103448275862,5.22522522522523,5.11764705882353,5.01149425287356,5.36111111111111,5.9375,5.02521008403361,4.96491228070175,4.80769230769231,5.11304347826087,4.85714285714286,5.37373737373737,5.65853658536585,6.05128205128205,4.91228070175439,5.99130434782609,5.32352941176471,5.78301886792453,5,4.91743119266055,6.05555555555556,4.85964912280702,5.61666666666667
