research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,hypothesis
,,,msna_year,categorical,gvt_salary,numerical,group_difference_median,
,,,msna_year,categorical,gvt_social_benefits,numerical,group_difference_median,
,,,msna_year,categorical,non_gvt_salary,numerical,group_difference_median,
,,,msna_year,categorical,casual_labour,numerical,group_difference_median,
,,,msna_year,categorical,own_business_income,numerical,group_difference_median,
,,,msna_year,categorical,remittances,numerical,group_difference_median,
,,,msna_year,categorical,family_support,numerical,group_difference_median,
,,,msna_year,categorical,humanitarian_assistance,numerical,group_difference_median,
,,,msna_year,categorical,zakat,numerical,group_difference_median,
,,,msna_year,categorical,income_other,numerical,group_difference_median,
,,,msna_year,categorical,obtaining_cash_challenge,categorical,group_difference,
,,,msna_year,categorical,shelter_condition,categorical,group_difference,
,,,msna_year,categorical,eviction_threat,categorical,group_difference,
,,,msna_year,categorical,primary_drinkingwater_source,categorical,group_difference,
,,,msna_year,categorical,unsufficient_quantity_water,categorical,group_difference,
,,,msna_year,categorical,water_treatment,categorical,group_difference,
,,,msna_year,categorical,access_public_water_network,categorical,group_difference,
,,,msna_year,categorical,toilet_type,categorical,group_difference,
,,,msna_year,categorical,travel_to_healthcare_provider,categorical,group_difference,
,,,msna_year,categorical,nb_children_vaccination_cards,numerical,group_difference,
,,,msna_year,categorical,individual_suffering_mentaldisorder,categorical,group_difference,
,,,msna_year,categorical,physical_cognitive_access_healthcare,categorical,group_difference,
,,,msna_year,categorical,explosive_hazards_risk_awareness,categorical,group_difference,
,,,msna_year,categorical,fcs_category,categorical,group_difference,
,,,msna_year,categorical,rcsi_category,categorical,group_difference,
,,,msna_year,categorical,cash_coping,categorical,group_difference,
,,,msna_year,categorical,permanent_job_adult_male,numerical,group_difference,
,,,msna_year,categorical,temporary_job_adult_male,numerical,group_difference,
,,,msna_year,categorical,daily_labour_adult_male,numerical,group_difference,
,,,msna_year,categorical,gvt_payroll_adult_male,numerical,group_difference,
,,,msna_year,categorical,cash_modality,numerical,group_difference,
,,,msna_year,categorical,obtaining_cash_challenge,categorical,group_difference,
,,,msna_year,categorical,hh_payment_modality,categorical,group_difference,
,,,msna_year,categorical,barriers_purchasing_items,categorical,group_difference,
,,,msna_year,categorical,shelter_type,categorical,group_difference,
,,,msna_year,categorical,occupancy_status,categorical,group_difference,
,,,msna_year,categorical,power_cuts,numerical,group_difference,
,,,msna_year,categorical,access_healthcare_challenge,categorical,group_difference,
,,,msna_year,categorical,access_healthcare_challenge_reasons,categorical,group_difference,
,,,msna_year,categorical,received_humanitarian_assistance,categorical,group_difference,
,,,msna_year,categorical,presence_explosive_hazards,categorical,group_difference,
,,,msna_year,categorical,explosive_hazards_injured,categorical,group_difference,
