"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var","1. Government salary","MSNA year",NA,"2019",1100,102.042691384931,900,1300,"mantika_label","Sebha",NA
"dependent.var1","1. Government salary","MSNA year",NA,"2018",1000,0,1000,1000,"mantika_label","Sebha",NA
"dependent.var2","1. Government salary","MSNA year",NA,"2019",700,0,700,700,"mantika_label","Aljufra",NA
"dependent.var11","1. Government salary","MSNA year",NA,"2018",1200,25.5106728462327,1150,1250,"mantika_label","Aljufra",NA
"dependent.var3","1. Government salary","MSNA year",NA,"2019",1500,76.5320185386981,1350,1650,"mantika_label","Tripoli",NA
"dependent.var12","1. Government salary","MSNA year",NA,"2018",750,76.5320185386981,600,900,"mantika_label","Tripoli",NA
"dependent.var4","1. Government salary","MSNA year",NA,"2019",1300,51.0213456924654,1200,1400,"mantika_label","Wadi Ashshati",NA
"dependent.var13","1. Government salary","MSNA year",NA,"2018",1000,71.4298839694516,860,1140,"mantika_label","Wadi Ashshati",NA
"dependent.var5","1. Government salary","MSNA year",NA,"2019",2000,127.553364231163,1750,2250,"mantika_label","Aljfara",NA
"dependent.var14","1. Government salary","MSNA year",NA,"2018",750,25.5106728462327,700,800,"mantika_label","Aljfara",NA
"dependent.var6","1. Government salary","MSNA year",NA,"2019",1600,127.553364231163,1350,1850,"mantika_label","Ejdabia",NA
"dependent.var15","1. Government salary","MSNA year",NA,"2018",800,25.5106728462327,750,850,"mantika_label","Ejdabia",NA
"dependent.var7","1. Government salary","MSNA year",NA,"2019",1400,76.5320185386981,1250,1550,"mantika_label","Alkufra",NA
"dependent.var16","1. Government salary","MSNA year",NA,"2018",900,51.0213456924654,800,1000,"mantika_label","Alkufra",NA
"dependent.var8","1. Government salary","MSNA year",NA,"2019",950,12.7553364231164,925,975,"mantika_label","Sirt",NA
"dependent.var17","1. Government salary","MSNA year",NA,"2018",800,48.4702784078421,705,895,"mantika_label","Sirt",NA
"dependent.var9","1. Government salary","MSNA year",NA,"2019",850,51.0213456924654,750,950,"mantika_label","Ghat",NA
"dependent.var18","1. Government salary","MSNA year",NA,"2018",850,43.3681438385956,765,935,"mantika_label","Ghat",NA
"dependent.var10","1. Government salary","MSNA year",NA,"2019",1500,51.0213456924654,1400,1600,"mantika_label","Al Jabal Al Gharbi",NA
"dependent.var19","1. Government salary","MSNA year",NA,"2018",800,38.266009269349,725,875,"mantika_label","Al Jabal Al Gharbi",NA
"dependent.var20","1. Government salary","MSNA year",NA,"2019",1350,38.266009269349,1275,1425,"mantika_label","Azzawya",NA
"dependent.var110","1. Government salary","MSNA year",NA,"2018",800,25.5106728462327,750,850,"mantika_label","Azzawya",NA
"dependent.var21","1. Government salary","MSNA year",NA,"2019",1200,71.4298839694516,1060,1340,"mantika_label","Zwara",NA
"dependent.var111","1. Government salary","MSNA year",NA,"2018",750,12.7553364231164,725,775,"mantika_label","Zwara",NA
"dependent.var22","1. Government salary","MSNA year",NA,"2019",850,51.0213456924654,750,950,"mantika_label","Murzuq",NA
"dependent.var112","1. Government salary","MSNA year",NA,"2018",900,51.0213456924654,800,1000,"mantika_label","Murzuq",NA
"dependent.var23","1. Government salary","MSNA year",NA,"2019",1150,114.798027808047,925,1375,"mantika_label","Misrata",NA
"dependent.var113","1. Government salary","MSNA year",NA,"2018",1200,127.553364231163,950,1450,"mantika_label","Misrata",NA
"dependent.var24","1. Government salary","MSNA year",NA,"2019",1500,153.064037077396,1200,1800,"mantika_label","Benghazi",NA
"dependent.var114","1. Government salary","MSNA year",NA,"2018",1000,51.0213456924654,900,1100,"mantika_label","Benghazi",NA
"dependent.var25","1. Government salary","MSNA year",NA,"2019",1300,63.7766821155817,1175,1425,"mantika_label","Ubari",NA
"dependent.var115","1. Government salary","MSNA year",NA,"2018",760,71.4298839694516,620,900,"mantika_label","Ubari",NA
"dependent.var26","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Sebha",NA
"dependent.var116","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Sebha",NA
"dependent.var27","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Aljufra",NA
"dependent.var117","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Aljufra",NA
"dependent.var28","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Tripoli",NA
"dependent.var118","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Tripoli",NA
"dependent.var29","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Wadi Ashshati",NA
"dependent.var119","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Wadi Ashshati",NA
"dependent.var30","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Aljfara",NA
"dependent.var120","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Aljfara",NA
"dependent.var31","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Ejdabia",NA
"dependent.var121","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Ejdabia",NA
"dependent.var32","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Alkufra",NA
"dependent.var122","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Alkufra",NA
"dependent.var33","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Sirt",NA
"dependent.var123","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Sirt",NA
"dependent.var34","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Ghat",NA
"dependent.var124","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Ghat",NA
"dependent.var35","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Al Jabal Al Gharbi",NA
"dependent.var125","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Al Jabal Al Gharbi",NA
"dependent.var36","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Azzawya",NA
"dependent.var126","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Azzawya",NA
"dependent.var37","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Zwara",NA
"dependent.var127","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Zwara",NA
"dependent.var38","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Murzuq",NA
"dependent.var128","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Murzuq",NA
"dependent.var39","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Misrata",NA
"dependent.var129","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Misrata",NA
"dependent.var40","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Benghazi",NA
"dependent.var130","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Benghazi",NA
"dependent.var41","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Ubari",NA
"dependent.var131","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Ubari",NA
"dependent.var42","3. Non-government salaried work","MSNA year",NA,"2019",500,38.266009269349,425,575,"mantika_label","Sebha",NA
"dependent.var132","3. Non-government salaried work","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Sebha",NA
"dependent.var43","3. Non-government salaried work","MSNA year",NA,"2019",0,0,0,0,"mantika_label","Aljufra",NA
"dependent.var133","3. Non-government salaried work","MSNA year",NA,"2018",750,191.330046346745,375,1125,"mantika_label","Aljufra",NA
"dependent.var44","3. Non-government salaried work","MSNA year",NA,"2019",1400,382.660092693491,650,2150,"mantika_label","Tripoli",NA
"dependent.var134","3. Non-government salaried work","MSNA year",NA,"2018",0,0,0,0,"mantika_label","Tripoli",NA
"dependent.var45","3. Non-government salaried work","MSNA year",NA,"2019",600,81.6341531079446,440,760,"mantika_label","Wadi Ashshati",NA
