"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var","1. Government salary","MSNA year",NA,"2019",1450,38.266009269349,1375,1525,NA,NA,NA
"dependent.var1","1. Government salary","MSNA year",NA,"2018",850,25.5106728462327,800,900,NA,NA,NA
"dependent.var2","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,NA,NA,NA
"dependent.var11","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,NA,NA,NA
"dependent.var3","3. Non-government salaried work","MSNA year",NA,"2019",1000,0,1000,1000,NA,NA,NA
"dependent.var12","3. Non-government salaried work","MSNA year",NA,"2018",0,76.5320185386981,-150,150,NA,NA,NA
"dependent.var4","4. Casual or daily labour","MSNA year",NA,"2019",500,76.5320185386981,350,650,NA,NA,NA
"dependent.var13","4. Casual or daily labour","MSNA year",NA,"2018",0,114.798027808047,-225,225,NA,NA,NA
"dependent.var5","5. Income from own business or commerce","MSNA year",NA,"2019",1300,127.553364231163,1050,1550,NA,NA,NA
"dependent.var14","5. Income from own business or commerce","MSNA year",NA,"2018",500,147.96190250815,210,790,NA,NA,NA
"dependent.var6","6. Remittances","MSNA year",NA,"2019",0,0,0,0,NA,NA,NA
"dependent.var15","6. Remittances","MSNA year",NA,"2018",0,0,0,0,NA,NA,NA
"dependent.var7","7. Support from family and friends (not including remittances)","MSNA year",NA,"2019",0,0,0,0,NA,NA,NA
"dependent.var16","7. Support from family and friends (not including remittances)","MSNA year",NA,"2018",0,0,0,0,NA,NA,NA
"dependent.var8","8. Humanitarian assistance","MSNA year",NA,"2019",0,0,0,0,NA,NA,NA
"dependent.var17","8. Humanitarian assistance","MSNA year",NA,"2018",0,0,0,0,NA,NA,NA
"dependent.var9","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2019",0,0,0,0,NA,NA,NA
"dependent.var18","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2018",0,0,0,0,NA,NA,NA
"dependent.var10","10. Other (specify)","MSNA year",NA,"2019",0,0,0,0,NA,NA,NA
"dependent.var19","10. Other (specify)","MSNA year",NA,"2018",0,0,0,0,NA,NA,NA
