"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var","1. Government salary","MSNA year",NA,"2019",1300,38.266009269349,1225,1375,"displacement_status","idp",NA
"dependent.var1","1. Government salary","MSNA year",NA,"2018",900,38.266009269349,825,975,"displacement_status","idp",NA
"dependent.var2","1. Government salary","MSNA year",NA,"2019",1500,25.5106728462327,1450,1550,"displacement_status","non_displaced",NA
"dependent.var11","1. Government salary","MSNA year",NA,"2018",850,25.5106728462327,800,900,"displacement_status","non_displaced",NA
"dependent.var3","1. Government salary","MSNA year",NA,"2019",1200,25.5106728462327,1150,1250,"displacement_status","returnee",NA
"dependent.var12","1. Government salary","MSNA year",NA,"2018",850,33.1638747001025,785,915,"displacement_status","returnee",NA
"dependent.var4","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","idp",NA
"dependent.var13","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","idp",NA
"dependent.var5","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var14","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var6","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","returnee",NA
"dependent.var15","2. Government social benefits or assistance (including pensions)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","returnee",NA
"dependent.var7","3. Non-government salaried work","MSNA year",NA,"2019",800,63.7766821155817,675,925,"displacement_status","idp",NA
"dependent.var16","3. Non-government salaried work","MSNA year",NA,"2018",200,127.553364231163,-50,450,"displacement_status","idp",NA
"dependent.var8","3. Non-government salaried work","MSNA year",NA,"2019",1000,51.0213456924654,900,1100,"displacement_status","non_displaced",NA
"dependent.var17","3. Non-government salaried work","MSNA year",NA,"2018",0,76.5320185386981,-150,150,"displacement_status","non_displaced",NA
"dependent.var9","3. Non-government salaried work","MSNA year",NA,"2019",900,51.0213456924654,800,1000,"displacement_status","returnee",NA
"dependent.var18","3. Non-government salaried work","MSNA year",NA,"2018",0,0,0,0,"displacement_status","returnee",NA
"dependent.var10","4. Casual or daily labour","MSNA year",NA,"2019",500,76.5320185386981,350,650,"displacement_status","idp",NA
"dependent.var19","4. Casual or daily labour","MSNA year",NA,"2018",400,63.7766821155817,275,525,"displacement_status","idp",NA
"dependent.var20","4. Casual or daily labour","MSNA year",NA,"2019",500,99.4916241003075,305,695,"displacement_status","non_displaced",NA
"dependent.var110","4. Casual or daily labour","MSNA year",NA,"2018",0,127.553364231163,-250,250,"displacement_status","non_displaced",NA
"dependent.var21","4. Casual or daily labour","MSNA year",NA,"2019",500,76.5320185386981,350,650,"displacement_status","returnee",NA
"dependent.var111","4. Casual or daily labour","MSNA year",NA,"2018",400,178.574709923629,50,750,"displacement_status","returnee",NA
"dependent.var22","5. Income from own business or commerce","MSNA year",NA,"2019",700,127.553364231163,450,950,"displacement_status","idp",NA
"dependent.var112","5. Income from own business or commerce","MSNA year",NA,"2018",300,76.5320185386981,150,450,"displacement_status","idp",NA
"dependent.var23","5. Income from own business or commerce","MSNA year",NA,"2019",1400,153.064037077396,1100,1700,"displacement_status","non_displaced",NA
"dependent.var113","5. Income from own business or commerce","MSNA year",NA,"2018",500,204.085382769862,100,900,"displacement_status","non_displaced",NA
"dependent.var24","5. Income from own business or commerce","MSNA year",NA,"2019",800,637.766821155818,-450,2050,"displacement_status","returnee",NA
"dependent.var114","5. Income from own business or commerce","MSNA year",NA,"2018",500,255.106728462327,5.6843418860808e-14,1000,"displacement_status","returnee",NA
"dependent.var25","6. Remittances","MSNA year",NA,"2019",0,0,0,0,"displacement_status","idp",NA
"dependent.var115","6. Remittances","MSNA year",NA,"2018",0,0,0,0,"displacement_status","idp",NA
"dependent.var26","6. Remittances","MSNA year",NA,"2019",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var116","6. Remittances","MSNA year",NA,"2018",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var27","6. Remittances","MSNA year",NA,"2019",0,0,0,0,"displacement_status","returnee",NA
"dependent.var117","6. Remittances","MSNA year",NA,"2018",0,0,0,0,"displacement_status","returnee",NA
"dependent.var28","7. Support from family and friends (not including remittances)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","idp",NA
"dependent.var118","7. Support from family and friends (not including remittances)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","idp",NA
"dependent.var29","7. Support from family and friends (not including remittances)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var119","7. Support from family and friends (not including remittances)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var30","7. Support from family and friends (not including remittances)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","returnee",NA
"dependent.var120","7. Support from family and friends (not including remittances)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","returnee",NA
"dependent.var31","8. Humanitarian assistance","MSNA year",NA,"2019",0,0,0,0,"displacement_status","idp",NA
"dependent.var121","8. Humanitarian assistance","MSNA year",NA,"2018",0,0,0,0,"displacement_status","idp",NA
"dependent.var32","8. Humanitarian assistance","MSNA year",NA,"2019",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var122","8. Humanitarian assistance","MSNA year",NA,"2018",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var33","8. Humanitarian assistance","MSNA year",NA,"2019",0,0,0,0,"displacement_status","returnee",NA
"dependent.var123","8. Humanitarian assistance","MSNA year",NA,"2018",0,0,0,0,"displacement_status","returnee",NA
"dependent.var34","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","idp",NA
"dependent.var124","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","idp",NA
"dependent.var35","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var125","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var36","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","returnee",NA
"dependent.var126","9. Zakat or charitable donations (not formal humanitarian assistance)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","returnee",NA
"dependent.var37","10. Other (specify)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","idp",NA
"dependent.var127","10. Other (specify)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","idp",NA
"dependent.var38","10. Other (specify)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var128","10. Other (specify)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","non_displaced",NA
"dependent.var39","10. Other (specify)","MSNA year",NA,"2019",0,0,0,0,"displacement_status","returnee",NA
"dependent.var129","10. Other (specify)","MSNA year",NA,"2018",0,0,0,0,"displacement_status","returnee",NA
"1","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Don't know","2018",0.00591999245611275,NA,0.000899018570825145,0.0109409663414004,"displacement_status","idp",1.10947285664112e-10
"2","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Prefer not to answer","2018",0.00959785769143928,NA,0.00268766565013659,0.016508049732742,"displacement_status","idp",1.10947285664112e-10
"3","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","No","2018",0.29679332837329,NA,0.265652889237181,0.327933767509399,"displacement_status","idp",1.10947285664112e-10
"4","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Yes","2018",0.687688821479158,NA,0.65608320872519,0.719294434233127,"displacement_status","idp",1.10947285664112e-10
"5","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Don't know","2019",0.00567338768196181,NA,0.00125617229722689,0.0100906030666967,"displacement_status","idp",1.10947285664112e-10
"6","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Prefer not to answer","2019",0.00816937033214115,NA,0.00202748193858029,0.014311258725702,"displacement_status","idp",1.10947285664112e-10
"7","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","No","2019",0.455476858858133,NA,0.424179980353475,0.486773737362791,"displacement_status","idp",1.10947285664112e-10
"8","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Yes","2019",0.530680383127764,NA,0.499522547509369,0.56183821874616,"displacement_status","idp",1.10947285664112e-10
"110","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Don't know","2018",0.00788269863217513,NA,0.00168957598211383,0.0140758212822364,"displacement_status","non_displaced",1.04345443975765e-12
"21","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Prefer not to answer","2018",0.0147582409957616,NA,0.00532540412286116,0.0241910778686621,"displacement_status","non_displaced",1.04345443975765e-12
"31","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","No","2018",0.361295159690046,NA,0.318570608700843,0.404019710679249,"displacement_status","non_displaced",1.04345443975765e-12
"41","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Yes","2018",0.616063900682017,NA,0.573108775549068,0.659019025814966,"displacement_status","non_displaced",1.04345443975765e-12
"51","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Don't know","2019",0.00752640242500561,NA,0.000396380255031853,0.0146564245949794,"displacement_status","non_displaced",1.04345443975765e-12
"61","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Prefer not to answer","2019",0.00418600346619187,NA,0.000628502541726091,0.00774350439065765,"displacement_status","non_displaced",1.04345443975765e-12
"71","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","No","2019",0.562887000585482,NA,0.530674006840036,0.595099994330928,"displacement_status","non_displaced",1.04345443975765e-12
"81","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Yes","2019",0.42540059352332,NA,0.393504940595467,0.457296246451174,"displacement_status","non_displaced",1.04345443975765e-12
"111","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Don't know","2018",0.00461871313448452,NA,-0.00429572568449482,0.0135331519534639,"displacement_status","returnee",3.72127372617134e-31
"22","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Prefer not to answer","2018",0.00383126440971504,NA,0.000332954253203298,0.00732957456622677,"displacement_status","returnee",3.72127372617134e-31
"32","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","No","2018",0.237351188703548,NA,0.193620477056739,0.281081900350357,"displacement_status","returnee",3.72127372617134e-31
"42","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Yes","2018",0.754198833752253,NA,0.70983648897924,0.798561178525265,"displacement_status","returnee",3.72127372617134e-31
"52","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Don't know","2019",0.00245246289706132,NA,-0.000545272634036144,0.00545019842815879,"displacement_status","returnee",3.72127372617134e-31
"62","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Prefer not to answer","2019",0.000198232102973215,NA,-9.14433599475421e-05,0.000487907565893972,"displacement_status","returnee",3.72127372617134e-31
"72","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","No","2019",0.629199773042004,NA,0.581928581144532,0.676470964939477,"displacement_status","returnee",3.72127372617134e-31
"82","Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?","MSNA year","Yes","2019",0.368149531957961,NA,0.320924579511526,0.415374484404396,"displacement_status","returnee",3.72127372617134e-31
"112","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Heavy damage (shelter is not livable without repairs)","2018",0.0133840057899769,NA,0.00666659298015098,0.0201014185998027,"displacement_status","idp",0.0766023348164525
"23","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Light damage (repairs needed, but shelter is livable)","2018",0.253243512610227,NA,0.224778456067398,0.281708569153055,"displacement_status","idp",0.0766023348164525
"33","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Medium damage","2018",0.0560447109431619,NA,0.0432892951466875,0.0688001267396362,"displacement_status","idp",0.0766023348164525
"43","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","No damage / negligible damage","2018",0.669049101941532,NA,0.638269735265726,0.699828468617338,"displacement_status","idp",0.0766023348164525
"53","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Destroyed (shelter needs to be reconstructed)","2018",0.00827866871510274,NA,0.00188135742228526,0.0146759800079202,"displacement_status","idp",0.0766023348164525
"63","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Heavy damage (shelter is not livable without repairs)","2019",0.00990666764963374,NA,0.00479916831707319,0.0150141669821943,"displacement_status","idp",0.0766023348164525
"73","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Light damage (repairs needed, but shelter is livable)","2019",0.216018162933091,NA,0.189179713770859,0.242856612095324,"displacement_status","idp",0.0766023348164525
"83","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Medium damage","2019",0.0479841976864235,NA,0.035447694001224,0.0605207013716229,"displacement_status","idp",0.0766023348164525
"9","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","No damage / negligible damage","2019",0.72168635008047,NA,0.69331564344584,0.7500570567151,"displacement_status","idp",0.0766023348164525
"10","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Destroyed (shelter needs to be reconstructed)","2019",0.00440462165038098,NA,0.00179702369791603,0.00701221960284592,"displacement_status","idp",0.0766023348164525
"113","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Heavy damage (shelter is not livable without repairs)","2018",0.0109559350146852,NA,0.000864079148800616,0.0210477908805697,"displacement_status","non_displaced",4.25793373926969e-09
"24","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Light damage (repairs needed, but shelter is livable)","2018",0.263563673595605,NA,0.223610232927569,0.303517114263641,"displacement_status","non_displaced",4.25793373926969e-09
"34","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Medium damage","2018",0.0500944757884028,NA,0.0347573168092811,0.0654316347675244,"displacement_status","non_displaced",4.25793373926969e-09
"44","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","No damage / negligible damage","2018",0.669169279958639,NA,0.627766815745479,0.710571744171799,"displacement_status","non_displaced",4.25793373926969e-09
"54","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Destroyed (shelter needs to be reconstructed)","2018",0.00621663564266803,NA,0.00225617384199139,0.0101770974433447,"displacement_status","non_displaced",4.25793373926969e-09
"64","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Heavy damage (shelter is not livable without repairs)","2019",0.0107787442393922,NA,0.00450454659230284,0.0170529418864815,"displacement_status","non_displaced",4.25793373926969e-09
"74","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Light damage (repairs needed, but shelter is livable)","2019",0.141519851369443,NA,0.117354164914302,0.165685537824583,"displacement_status","non_displaced",4.25793373926969e-09
"84","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Medium damage","2019",0.025792171608657,NA,0.015231061272206,0.036353281945108,"displacement_status","non_displaced",4.25793373926969e-09
"91","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","No damage / negligible damage","2019",0.819092534013774,NA,0.792848489814343,0.845336578213205,"displacement_status","non_displaced",4.25793373926969e-09
"101","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Destroyed (shelter needs to be reconstructed)","2019",0.00281669876873434,NA,0.000314786630115015,0.00531861090735367,"displacement_status","non_displaced",4.25793373926969e-09
"114","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Heavy damage (shelter is not livable without repairs)","2018",0.0601971689782827,NA,0.0349643587446519,0.0854299792119134,"displacement_status","returnee",3.21568952628035e-07
"25","Question for enumerator: How would you describe the overall condition of this household's shelter?","MSNA year","Light damage (repairs needed, but shelter is livable)","2018",0.386838039068631,NA,0.332987295071107,0.440688783066155,"displacement_status","returnee",3.21568952628035e-07
